Data from MMG 2020 are NOT directly comparable to data from any prior MMG study due to methodological changes made in 2020.,,,,,,,,,,,,,,,
FIPS,State Name,District,2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2018 Child Food Insecurity Rate,# of Food Insecure Children in 2018,% food insecure children in HH w/ HH incomes below 185 FPL in 2018,% food insecure children in HH w/ HH incomes above 185 FPL in 2018
101,AL,"Congressional District 1 (116th Congress), Alabama",16.4%,"117,560",130%,SNAP,185%,Other Nutrition Program,50.0%,16.3%,33.7%,22.3%,"36,250",76%,24%
102,AL,"Congressional District 2 (116th Congress), Alabama",18.0%,"122,290",130%,SNAP,185%,Other Nutrition Program,52.6%,14.7%,32.7%,25.1%,"38,440",75%,25%
103,AL,"Congressional District 3 (116th Congress), Alabama",18.3%,"129,360",130%,SNAP,185%,Other Nutrition Program,50.3%,18.9%,30.8%,24.4%,"37,520",81%,19%
104,AL,"Congressional District 4 (116th Congress), Alabama",16.6%,"114,160",130%,SNAP,185%,Other Nutrition Program,48.8%,22.1%,29.1%,23.9%,"37,130",92%,8%
105,AL,"Congressional District 5 (116th Congress), Alabama",14.6%,"106,250",130%,SNAP,185%,Other Nutrition Program,42.4%,17.2%,40.5%,19.4%,"30,600",77%,23%
106,AL,"Congressional District 6 (116th Congress), Alabama",12.7%,"90,840",130%,SNAP,185%,Other Nutrition Program,35.3%,16.3%,48.4%,16.5%,"26,610",64%,36%
107,AL,"Congressional District 7 (116th Congress), Alabama",22.5%,"148,760",130%,SNAP,185%,Other Nutrition Program,67.9%,8.7%,23.4%,31.3%,"45,250",66%,34%
200,AK,"Congressional District (at Large) (116th Congress), Alaska",12.9%,"95,190",130%,SNAP,185%,Other Nutrition Program,46.7%,15.4%,37.9%,18.1%,"33,200",65%,36%
401,AZ,"Congressional District 1 (116th Congress), Arizona",16.0%,"123,440",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.5%,,31.5%,24.8%,"44,200",74%,26%
402,AZ,"Congressional District 2 (116th Congress), Arizona",13.8%,"99,690",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",66.1%,,33.9%,18.9%,"26,800",68%,32%
403,AZ,"Congressional District 3 (116th Congress), Arizona",14.1%,"112,770",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",86.7%,,13.3%,20.6%,"43,580",80%,20%
404,AZ,"Congressional District 4 (116th Congress), Arizona",14.7%,"118,990",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.4%,,37.6%,22.5%,"33,960",63%,37%
405,AZ,"Congressional District 5 (116th Congress), Arizona",9.9%,"82,940",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",47.2%,,52.8%,14.5%,"31,590",45%,55%
406,AZ,"Congressional District 6 (116th Congress), Arizona",10.5%,"82,510",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",50.7%,,49.3%,14.3%,"22,390",58%,43%
407,AZ,"Congressional District 7 (116th Congress), Arizona",15.3%,"130,540",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",94.5%,,5.5%,21.7%,"56,210",88%,12%
408,AZ,"Congressional District 8 (116th Congress), Arizona",10.6%,"84,080",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",50.4%,,49.6%,15.3%,"25,730",50%,51%
409,AZ,"Congressional District 9 (116th Congress), Arizona",12.9%,"102,340",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.4%,,36.6%,17.1%,"26,930",71%,29%
501,AR,"Congressional District 1 (116th Congress), Arkansas",19.5%,"141,420",130%,SNAP,185%,Other Nutrition Program,57.8%,15.5%,26.7%,26.8%,"44,840",78%,22%
502,AR,"Congressional District 2 (116th Congress), Arkansas",16.7%,"127,480",130%,SNAP,185%,Other Nutrition Program,50.9%,11.0%,38.2%,21.9%,"38,580",65%,35%
503,AR,"Congressional District 3 (116th Congress), Arkansas",14.4%,"118,110",130%,SNAP,185%,Other Nutrition Program,44.1%,20.5%,35.4%,17.7%,"35,450",81%,19%
504,AR,"Congressional District 4 (116th Congress), Arkansas",19.1%,"134,480",130%,SNAP,185%,Other Nutrition Program,58.3%,13.8%,27.9%,27.2%,"43,400",76%,24%
601,CA,"Congressional District 1 (116th Congress), California",14.2%,"101,350",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.8%,,30.2%,20.5%,"28,350",61%,39%
602,CA,"Congressional District 2 (116th Congress), California",11.0%,"79,700",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.4%,,42.6%,14.9%,"21,350",55%,45%
603,CA,"Congressional District 3 (116th Congress), California",11.6%,"86,720",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.6%,,30.4%,15.2%,"26,960",65%,35%
604,CA,"Congressional District 4 (116th Congress), California",10.0%,"75,610",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",54.5%,,45.5%,15.2%,"23,540",47%,53%
605,CA,"Congressional District 5 (116th Congress), California",10.0%,"73,300",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.6%,,33.4%,13.5%,"20,290",63%,37%
606,CA,"Congressional District 6 (116th Congress), California",13.8%,"107,280",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",80.5%,,19.5%,19.9%,"38,400",73%,27%
607,CA,"Congressional District 7 (116th Congress), California",10.9%,"82,100",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.2%,,36.8%,16.3%,"27,670",61%,39%
608,CA,"Congressional District 8 (116th Congress), California",13.8%,"98,630",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",85.4%,,14.6%,21.0%,"40,640",73%,27%
609,CA,"Congressional District 9 (116th Congress), California",11.8%,"91,340",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",82.0%,,18.0%,17.9%,"37,590",68%,32%
