fips,state_name,lat,lon,total_population,area_sqmi,population_density_per_sqmi,percent_fair_or_poor_health,average_number_of_mentally_unhealthy_days,percent_low_birthweight,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_children_in_poverty,num_households_CHR,percent_single_parent_households_CHR,violent_crime_rate,percent_severe_housing_problems,severe_housing_cost_burden,life_expectancy,percent_adults_with_diabetes,percent_limited_access_to_healthy_foods,median_household_income,percent_enrolled_in_free_or_reduced_lunch,percent_homeowners,percent_severe_housing_cost_burden,percent_black,percent_american_indian_alaska_native,percent_asian,percent_native_hawaiian_other_pacific_islander,percent_hispanic,percent_non_hispanic_white,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percent_below_poverty,percent_unemployed_CDC,percent_no_highschool_diploma,percent_age_65_and_older,percent_disabled,percent_minorities,percent_limited_english_abilities,percentile_rank_social_vulnerability,pct_overall_pov_19,fi_rate_18,ch_fi_rate_18,cpm_18,percent_of_adults_with_less_than_high_school_diploma,percent_of_adults_with_high_school_diploma_only,percent_of_adults_completing_some_college_or_associate_degree,percent_of_adults_with_bachelor_degree_or_higher,county,state_abr
1001,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Autauga,AL
1003,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Baldwin,AL
1005,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Barbour,AL
1007,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Bibb,AL
1009,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Blount,AL
1011,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Bullock,AL
1013,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Butler,AL
1015,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Calhoun,AL
1017,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Chambers,AL
1019,Alabama,32.88,-86.71,72256.18,755.92,91.31,23.82,4.97,10.66,19.99,37.43,6.83,31.73,45.28,11.74,45.48,88.99,29.24,16263.75,40.65,388.61,13.81,11.85,74.64,16.36,7.36,43479.82,63.4,71.35,11.97,28.38,0.84,0.85,0.11,3.85,64.75,0.82,51.37,67.09,21232.75,21.39,10.1,19.15,16.93,18.97,34.59,0.9,0.72,18.66,17.72,24.87,3.16,17.23,35.81,28.91,18.05,Cherokee,AL
