State Name,County Code,FIPS,FI Rate,Number Food Insecure Individuals,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Weighted Annual Dollars,Cost Per Meal,Child FI Rate,Number Food Insecure Children,% of children in FI HH with HH incomes at or below 185% FPL,% of children in FI HH with HH incomes above 185% FPL
AK,ALEUTIANS EAST,02013,0.151,450,130%,SNAP,185%,other nutrition pgm,0.65,0.34,0,n/a,n/a,0.248,100,0.513,0.487
AK,ALEUTIANS WEST,02016,0.136,750,130%,SNAP,185%,other nutrition pgm,0.5,0.33,0.17,n/a,n/a,0.178,100,0.327,0.673
AK,ANCHORAGE,02020,0.119,33260,130%,SNAP,185%,other nutrition pgm,0.34,0.15,0.51,n/a,n/a,0.186,13680,0.489,0.511
AK,BETHEL,02050,0.211,3620,130%,SNAP,185%,other nutrition pgm,0.59,0.27,0.14,n/a,n/a,0.314,1940,0.75,0.25
AK,BRISTOL BAY,02060,0.095,60,130%,SNAP,185%,other nutrition pgm,0.24,0.36,0.4,n/a,n/a,0.166,40,0.476,0.524
AK,DENALI,02068,0.133,200,130%,SNAP,185%,other nutrition pgm,0.28,0.09,0.63,n/a,n/a,0.2,60,0.435,0.565
AK,DILLINGHAM,02070,0.176,870,130%,SNAP,185%,other nutrition pgm,0.56,0.14,0.29,n/a,n/a,0.281,460,0.6,0.4
AK,FAIRBANKS NORTH STAR,02090,0.126,12240,130%,SNAP,185%,other nutrition pgm,0.35,0.16,0.49,n/a,n/a,0.188,4790,0.502,0.498
AK,HAINES,02100,0.137,330,130%,SNAP,185%,other nutrition pgm,0.32,0.17,0.51,n/a,n/a,0.207,110,0.194,0.806
AK,JUNEAU,02110,0.107,3310,130%,SNAP,185%,other nutrition pgm,0.31,0.13,0.56,n/a,n/a,0.183,1340,0.368,0.632
AK,KENAI PENINSULA,02122,0.153,8120,130%,SNAP,185%,other nutrition pgm,0.42,0.22,0.37,n/a,n/a,0.232,3050,0.603,0.397
AK,KETCHIKAN GATEWAY,02130,0.129,1700,130%,SNAP,185%,other nutrition pgm,0.43,0.2,0.37,n/a,n/a,0.206,680,0.642,0.358
AK,KODIAK ISLAND,02150,0.131,1730,130%,SNAP,185%,other nutrition pgm,0.36,0.2,0.44,n/a,n/a,0.216,850,0.487,0.513
AK,LAKE AND PENINSULA,02164,0.177,250,130%,SNAP,185%,other nutrition pgm,0.64,0.13,0.23,n/a,n/a,0.263,150,0.668,0.332
AK,MATANUSKA SUSITNA,02170,0.146,11960,130%,SNAP,185%,other nutrition pgm,0.37,0.16,0.47,n/a,n/a,0.224,5180,0.488,0.512
AK,NOME,02180,0.211,1970,130%,SNAP,185%,other nutrition pgm,0.68,0.14,0.18,n/a,n/a,0.312,970,0.743,0.257
AK,NORTH SLOPE,02185,0.122,820,130%,SNAP,185%,other nutrition pgm,0.53,0.18,0.3,n/a,n/a,0.202,470,0.615,0.385
AK,NORTHWEST ARCTIC,02188,0.198,1470,130%,SNAP,185%,other nutrition pgm,0.62,0.28,0.1,n/a,n/a,0.288,770,0.786,0.214
AK,SITKA,02220,0.117,1030,130%,SNAP,185%,other nutrition pgm,0.34,0.22,0.44,n/a,n/a,0.175,360,0.473,0.527
AK,SOUTHEAST FAIRBANKS,02240,0.158,1070,130%,SNAP,185%,other nutrition pgm,0.41,0.24,0.35,n/a,n/a,0.234,500,0.642,0.358
AK,VALDEZ CORDOVA,02261,0.139,1320,130%,SNAP,185%,other nutrition pgm,0.34,0.27,0.39,n/a,n/a,0.213,520,0.501,0.499
AK,WADE HAMPTON,02270,0.304,2310,130%,SNAP,185%,other nutrition pgm,0.86,0.14,0,n/a,n/a,0.436,1360,0.928,0.072
AK,YAKUTAT,02282,0.142,60,130%,SNAP,185%,other nutrition pgm,0.16,0.35,0.49,n/a,n/a,0.214,30,0.45,0.55
AK,YUKON KOYUKUK,02290,0.241,1400,130%,SNAP,185%,other nutrition pgm,0.71,0.21,0.08,n/a,n/a,0.364,580,0.769,0.231
