FIPS,State,"County, State",2010 Food Insecurity Rate,Number of Food Insecure Persons in 2010
1001,AL,"Autauga County, Alabama",13.4%,7140
1003,AL,"Baldwin County, Alabama",13.4%,23570
1005,AL,"Barbour County, Alabama",23.2%,6440
1007,AL,"Bibb County, Alabama",15.7%,3550
1009,AL,"Blount County, Alabama",12.6%,7160
1011,AL,"Bullock County, Alabama",28.5%,3110
1013,AL,"Butler County, Alabama",23.1%,4820
1015,AL,"Calhoun County, Alabama",17.1%,20020
1017,AL,"Chambers County, Alabama",22.5%,7770
1019,AL,"Cherokee County, Alabama",14.6%,3750
1021,AL,"Chilton County, Alabama",15.3%,6590
1023,AL,"Choctaw County, Alabama",21.1%,2970
1025,AL,"Clarke County, Alabama",26.5%,6950
1027,AL,"Clay County, Alabama",19.4%,2720
1029,AL,"Cleburne County, Alabama",14%,2070
1031,AL,"Coffee County, Alabama",14.5%,7010
1033,AL,"Colbert County, Alabama",15.8%,8620
1035,AL,"Conecuh County, Alabama",27.7%,3710
1037,AL,"Coosa County, Alabama",20.4%,2340
1039,AL,"Covington County, Alabama",16%,6010
1041,AL,"Crenshaw County, Alabama",16.3%,2270
1043,AL,"Cullman County, Alabama",13.6%,10880
1045,AL,"Dale County, Alabama",15%,7470
1047,AL,"Dallas County, Alabama",31.3%,13790
1049,AL,"DeKalb County, Alabama",16%,11210
1051,AL,"Elmore County, Alabama",14.4%,11170
1053,AL,"Escambia County, Alabama",20.8%,7910
1055,AL,"Etowah County, Alabama",15.8%,16400
1057,AL,"Fayette County, Alabama",17.3%,3030
1059,AL,"Franklin County, Alabama",15.1%,4750
1061,AL,"Geneva County, Alabama",14.8%,3940
1063,AL,"Greene County, Alabama",32.2%,2980
1065,AL,"Hale County, Alabama",24.9%,4020
1067,AL,"Henry County, Alabama",17%,2920
1069,AL,"Houston County, Alabama",16.3%,16100
1071,AL,"Jackson County, Alabama",14.8%,7910
1073,AL,"Jefferson County, Alabama",18.4%,121010
1075,AL,"Lamar County, Alabama",18.3%,2690
1077,AL,"Lauderdale County, Alabama",15%,13790
1079,AL,"Lawrence County, Alabama",15.6%,5350
1081,AL,"Lee County, Alabama",16.4%,22130
1083,AL,"Limestone County, Alabama",13.7%,10770
1085,AL,"Lowndes County, Alabama",29.3%,3440
1087,AL,"Macon County, Alabama",29.1%,6320
1089,AL,"Madison County, Alabama",13.8%,44670
1091,AL,"Marengo County, Alabama",23.9%,5080
1093,AL,"Marion County, Alabama",17.5%,5380
1095,AL,"Marshall County, Alabama",13.9%,12650
1097,AL,"Mobile County, Alabama",19.1%,78200
1099,AL,"Monroe County, Alabama",26.2%,6120
1101,AL,"Montgomery County, Alabama",20.6%,47030
1103,AL,"Morgan County, Alabama",14.8%,17370
1105,AL,"Perry County, Alabama",29.9%,3190
1107,AL,"Pickens County, Alabama",22.9%,4560
1109,AL,"Pike County, Alabama",20.2%,6500
1111,AL,"Randolph County, Alabama",19.7%,4510
1113,AL,"Russell County, Alabama",21.2%,10970
1115,AL,"St. Clair County, Alabama",13.3%,10720
1117,AL,"Shelby County, Alabama",10.7%,20120
1119,AL,"Sumter County, Alabama",30.5%,4230
1121,AL,"Talladega County, Alabama",19.6%,16130
1123,AL,"Tallapoosa County, Alabama",19.6%,8120
1125,AL,"Tuscaloosa County, Alabama",17.4%,32720
1127,AL,"Walker County, Alabama",16%,10820
1129,AL,"Washington County, Alabama",20.4%,3580
1131,AL,"Wilcox County, Alabama",36.4%,4380
1133,AL,"Winston County, Alabama",18.8%,4640
2013,AK,"Aleutians East Borough, Alaska",14.5%,540
2016,AK,"Aleutians West Census Area, Alaska",13.3%,830
2020,AK,"Anchorage Municipality, Alaska",12.3%,35090
2050,AK,"Bethel Census Area, Alaska",20.4%,3440
2060,AK,"Bristol Bay Borough, Alaska",9.1%,90
2068,AK,"Denali Borough, Alaska",13.1%,150
2070,AK,"Dillingham Census Area, Alaska",16.8%,810
2090,AK,"Fairbanks North Star Borough, Alaska",12.5%,11780
2100,AK,"Haines Borough, Alaska",13.4%,220
2105,AK,"Hoonah-Angoon Census Area, Alaska",20%,400
2110,AK,"Juneau City and Borough, Alaska",10.8%,3340
2122,AK,"Kenai Peninsula Borough, Alaska",14.7%,7930
2130,AK,"Ketchikan Gateway Borough, Alaska",12.7%,1700
2150,AK,"Kodiak Island Borough, Alaska",12.9%,1720
2164,AK,"Lake and Peninsula Borough, Alaska",16.7%,270
2170,AK,"Matanuska-Susitna Borough, Alaska",14.1%,11840
2180,AK,"Nome Census Area, Alaska",20.6%,1920
2185,AK,"North Slope Borough, Alaska",11.8%,1040
2188,AK,"Northwest Arctic Borough, Alaska",19.6%,1460
2195,AK,"Petersburg Census Area, Alaska",14.2%,550
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",15.4%,850
2220,AK,"Sitka City and Borough, Alaska",11.4%,1010
2230,AK,"Skagway Municipality, Alaska",17.2%,200
2240,AK,"Southeast Fairbanks Census Area, Alaska",15.4%,1070
2261,AK,"Valdez-Cordova Census Area, Alaska",13.3%,1280
2270,AK,"Wade Hampton Census Area, Alaska",27.4%,2030
2275,AK,"Wrangell City and Borough, Alaska",14%,330
2282,AK,"Yakutat City and Borough, Alaska",13.6%,90
2290,AK,"Yukon-Koyukuk Census Area, Alaska",22.2%,1250
4001,AZ,"Apache County, Arizona",27.1%,19070
4003,AZ,"Cochise County, Arizona",16%,20700
4005,AZ,"Coconino County, Arizona",17.7%,23270
4007,AZ,"Gila County, Arizona",19.1%,10150
4009,AZ,"Graham County, Arizona",20.5%,7370
4011,AZ,"Greenlee County, Arizona",16.1%,1340
4012,AZ,"La Paz County, Arizona",18.5%,3800
4013,AZ,"Maricopa County, Arizona",16.1%,605460
4015,AZ,"Mohave County, Arizona",18.6%,37120
4017,AZ,"Navajo County, Arizona",23.9%,25570
4019,AZ,"Pima County, Arizona",16.4%,158630
4021,AZ,"Pinal County, Arizona",18%,59240
4023,AZ,"Santa Cruz County, Arizona",20.7%,9550
4025,AZ,"Yavapai County, Arizona",17.5%,36720
4027,AZ,"Yuma County, Arizona",27.1%,51630
5001,AR,"Arkansas County, Arkansas",25.1%,4840
5003,AR,"Ashley County, Arkansas",20.7%,4580
5005,AR,"Baxter County, Arkansas",16.3%,6740
5007,AR,"Benton County, Arkansas",12.9%,27040
5009,AR,"Boone County, Arkansas",15.3%,5620
5011,AR,"Bradley County, Arkansas",23.4%,2720
5013,AR,"Calhoun County, Arkansas",17.8%,990
5015,AR,"Carroll County, Arkansas",14.7%,3960
5017,AR,"Chicot County, Arkansas",28.8%,3490
5019,AR,"Clark County, Arkansas",20.4%,4710
5021,AR,"Clay County, Arkansas",19.3%,3140
5023,AR,"Cleburne County, Arkansas",15.7%,4040
5025,AR,"Cleveland County, Arkansas",17.2%,1510
5027,AR,"Columbia County, Arkansas",22.7%,5620
5029,AR,"Conway County, Arkansas",17.4%,3670
5031,AR,"Craighead County, Arkansas",17.3%,16190
5033,AR,"Crawford County, Arkansas",16.1%,9780
5035,AR,"Crittenden County, Arkansas",26.5%,13400
5037,AR,"Cross County, Arkansas",19%,3440
5039,AR,"Dallas County, Arkansas",23.3%,1930
5041,AR,"Desha County, Arkansas",26.5%,3530
5043,AR,"Drew County, Arkansas",22.9%,4240
5045,AR,"Faulkner County, Arkansas",16.1%,17490
5047,AR,"Franklin County, Arkansas",15.6%,2840
5049,AR,"Fulton County, Arkansas",16.6%,2030
5051,AR,"Garland County, Arkansas",17.1%,16250
5053,AR,"Grant County, Arkansas",13.4%,2360
5055,AR,"Greene County, Arkansas",17.1%,7070
5057,AR,"Hempstead County, Arkansas",21.4%,4860
5059,AR,"Hot Spring County, Arkansas",15.8%,5160
5061,AR,"Howard County, Arkansas",19.5%,2690
5063,AR,"Independence County, Arkansas",16.8%,6060
5065,AR,"Izard County, Arkansas",17.6%,2410
5067,AR,"Jackson County, Arkansas",22%,3960
5069,AR,"Jefferson County, Arkansas",24.9%,19540
5071,AR,"Johnson County, Arkansas",16%,4040
5073,AR,"Lafayette County, Arkansas",22.5%,1750
5075,AR,"Lawrence County, Arkansas",18.9%,3280
5077,AR,"Lee County, Arkansas",26.5%,2830
5079,AR,"Lincoln County, Arkansas",22.8%,3230
5081,AR,"Little River County, Arkansas",18.6%,2440
5083,AR,"Logan County, Arkansas",15.5%,3510
5085,AR,"Lonoke County, Arkansas",14.5%,9570
5087,AR,"Madison County, Arkansas",15.5%,2400
5089,AR,"Marion County, Arkansas",17.2%,2880
5091,AR,"Miller County, Arkansas",17.6%,7560
5093,AR,"Mississippi County, Arkansas",24.3%,11370
5095,AR,"Monroe County, Arkansas",22.5%,1910
5097,AR,"Montgomery County, Arkansas",16.5%,1570
5099,AR,"Nevada County, Arkansas",21.4%,1960
5101,AR,"Newton County, Arkansas",17.2%,1440
5103,AR,"Ouachita County, Arkansas",21.8%,5740
5105,AR,"Perry County, Arkansas",15.9%,1660
5107,AR,"Phillips County, Arkansas",28.4%,6360
5109,AR,"Pike County, Arkansas",17.5%,1980
5111,AR,"Poinsett County, Arkansas",19.7%,4870
5113,AR,"Polk County, Arkansas",16.4%,3360
5115,AR,"Pope County, Arkansas",16.2%,9800
