FIPS,State Name,State,2013 Food Insecurity Rate,# of Food Insecure Persons in 2013 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2013 Child Food Insecurity Rate,# of Food Insecure Children in 2013,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2013,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2013,2013 Cost Per Meal,2013 Weighted Annual Food Budget Shortfall
1,Alabama,AL,18.800626101377%,908770,130%,SNAP,185%,Other Nutrition Program,53.9454427412877%,17.6645355810601%,28.3900216776522%,26.1766635480658%,294060,76%,24%,2.76,444265000
2,Alaska,AK,14.2491416507512%,104750,130%,SNAP,185%,Other Nutrition Program,41.0978520286396%,19.1980906921241%,39.7040572792363%,20.008516527386%,37590,60%,40%,3.19,59107000
4,Arizona,AZ,17.5261188804435%,1161390,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.4039039426894%,0%,30.5960960573106%,28.0350021128346%,454460,72%,28%,2.73,561993000
5,Arkansas,AR,19.7430334060627%,584270,130%,SNAP,185%,Other Nutrition Program,55.83206394304%,16.692624985024%,27.4975610590994%,28.4267934712183%,201820,76%,24%,2.65,273570000
6,California,CA,14.9526820842282%,5731740,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",78.0673931476306%,0%,21.9327813194597%,25.0650871901096%,2316570,71%,29%,2.99,3037087000
8,Colorado,CO,13.9147481563073%,733080,130%,SNAP,185%,Other Nutrition Program,49.0655862934468%,16.4402248049326%,34.4641785344028%,20.6015153921006%,253000,65%,35%,2.98,386399000
9,Connecticut,CT,13.5800649596227%,488350,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",54.5530869253609%,0%,45.4469130746391%,19.027541990809%,152990,59%,41%,2.93,253481000
10,Delaware,DE,13.2120045498294%,122310,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.2006377238165%,0%,33.7993622761835%,19.4108433323412%,39780,71%,29%,2.9,62711000
11,District of Columbia,DC,14.9957691944763%,96940,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.3959149989684%,0%,26.6040850010316%,30.4869362053737%,32100,70%,30%,3.51,60267000
12,Florida,FL,16.9568543936795%,3315550,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.2849753434573%,0%,26.7150246565427%,26.7485608822014%,1071760,70%,30%,2.92,1714988000
13,Georgia,GA,18.7325732246068%,1871790,130%,SNAP,185%,Other Nutrition Program,55.6093365174512%,16.5755773884891%,27.824702557445%,28.1667782561972%,700870,73%,27%,2.75,910560000
15,Hawaii,HI,13.8128590495807%,193940,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.7188821284934%,0%,42.2811178715067%,22.4496890824653%,68450,50%,50%,2.99,102567000
16,Idaho,ID,15.558861039019%,250830,130%,SNAP,185%,Other Nutrition Program,50.0737551329586%,20.0932902762827%,29.8369413547024%,21.132598625819%,90240,72%,28%,2.78,123492000
17,Illinois,IL,13.6249154352132%,1755180,130%,SNAP,185%,Other Nutrition Program,52.4356476258845%,15.3984206748026%,32.145990724598%,20.8345213347779%,643040,69%,31%,2.54,787542000
18,Indiana,IN,15.4159961600401%,1012970,130%,SNAP,185%,Other Nutrition Program,56.0984037039596%,14.981687512957%,28.8883185089391%,21.8246365378113%,348570,73%,27%,2.46,440889000
19,Iowa,IA,12.5953916883682%,389250,160%,SNAP,185%,Other Nutrition Program,52.3391136801542%,8.10276172125883%,39.5324341682723%,19.2890698489149%,139850,59%,41%,2.51,173068000
20,Kansas,KS,14.4898490198714%,419330,130%,SNAP,185%,Other Nutrition Program,49.3859251663368%,15.6726206090668%,34.9390694679608%,22.3162914170445%,161740,67%,33%,2.68,198903000
21,Kentucky,KY,16.4341642597368%,722330,130%,SNAP,185%,Other Nutrition Program,57.9375077872995%,13.326318995473%,28.7375576260158%,21.7297159597504%,221780,75%,25%,2.54,324612000
22,Louisiana,LA,16.8123455562354%,777650,130%,SNAP,185%,Other Nutrition Program,58.3745901112326%,13.35690863499%,28.2697871793223%,24.3319250988961%,271500,72%,28%,2.73,376268000
23,Maine,ME,15.5152969731281%,206090,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.0298413314571%,0%,34.9701586685429%,22.6974600992178%,61080,69%,31%,3.12,113989000
24,Maryland,MD,12.7754049966823%,757430,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.4219927914131%,0%,40.5780072085869%,19.1363685902878%,258110,58%,42%,2.92,391669000
25,Massachusetts,MA,11.468253161894%,767550,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.1352354895447%,0%,35.8647645104554%,16.4873406484145%,232150,64%,36%,3.05,414876000
26,Michigan,MI,16.4053356120515%,1623410,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.9147843120346%,0%,26.0852156879655%,20.8568185419022%,480490,70%,30%,2.57,737256000
27,Minnesota,MN,10.5667868304436%,572760,165%,SNAP,185%,Other Nutrition Program,59.0037712130735%,5.80696976045813%,35.1892590264683%,16.0147768631188%,205050,67%,33%,2.74,277568000
28,Mississippi,MS,22.7249401328628%,679750,130%,SNAP,185%,Other Nutrition Program,59.7675616035307%,15.045237219566%,25.1872011769033%,29.0208631709455%,217220,75%,25%,2.79,335570000
29,Missouri,MO,17.0417084493473%,1030030,130%,SNAP,185%,Other Nutrition Program,51.6916983000495%,17.4800733959205%,30.8369659136142%,21.5711612660328%,304810,69%,31%,2.6,474080000
