FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014
1001,AL,"Autauga County, Alabama",14.4%,7930
1003,AL,"Baldwin County, Alabama",13.7%,26200
1005,AL,"Barbour County, Alabama",23.3%,6330
1007,AL,"Bibb County, Alabama",16.4%,3730
1009,AL,"Blount County, Alabama",12.2%,7030
1011,AL,"Bullock County, Alabama",24.4%,2610
1013,AL,"Butler County, Alabama",22.6%,4630
1015,AL,"Calhoun County, Alabama",18.2%,21340
1017,AL,"Chambers County, Alabama",21.1%,7200
1019,AL,"Cherokee County, Alabama",14.6%,3810
1021,AL,"Chilton County, Alabama",14.1%,6170
1023,AL,"Choctaw County, Alabama",20.7%,2810
1025,AL,"Clarke County, Alabama",25.1%,6350
1027,AL,"Clay County, Alabama",16.3%,2220
1029,AL,"Cleburne County, Alabama",14.2%,2130
1031,AL,"Coffee County, Alabama",16%,8100
1033,AL,"Colbert County, Alabama",17.2%,9350
1035,AL,"Conecuh County, Alabama",24.5%,3190
1037,AL,"Coosa County, Alabama",18.9%,2120
1039,AL,"Covington County, Alabama",16.6%,6280
1041,AL,"Crenshaw County, Alabama",17.3%,2410
1043,AL,"Cullman County, Alabama",13.4%,10810
1045,AL,"Dale County, Alabama",17.5%,8740
1047,AL,"Dallas County, Alabama",30.3%,12940
1049,AL,"DeKalb County, Alabama",12.9%,9140
1051,AL,"Elmore County, Alabama",14.5%,11670
1053,AL,"Escambia County, Alabama",20.8%,7910
1055,AL,"Etowah County, Alabama",16.5%,17190
1057,AL,"Fayette County, Alabama",17.3%,2940
1059,AL,"Franklin County, Alabama",15%,4740
1061,AL,"Geneva County, Alabama",16%,4280
1063,AL,"Greene County, Alabama",31.3%,2750
1065,AL,"Hale County, Alabama",24.5%,3780
1067,AL,"Henry County, Alabama",16.6%,2870
1069,AL,"Houston County, Alabama",18.2%,18720
1071,AL,"Jackson County, Alabama",14.7%,7800
1073,AL,"Jefferson County, Alabama",19.7%,129800
1075,AL,"Lamar County, Alabama",16.7%,2390
1077,AL,"Lauderdale County, Alabama",16%,14840
1079,AL,"Lawrence County, Alabama",15.4%,5200
1081,AL,"Lee County, Alabama",18.3%,27050
1083,AL,"Limestone County, Alabama",13.6%,11820
1085,AL,"Lowndes County, Alabama",28.8%,3150
1087,AL,"Macon County, Alabama",27.9%,5730
1089,AL,"Madison County, Alabama",15.5%,53200
1091,AL,"Marengo County, Alabama",22.6%,4630
1093,AL,"Marion County, Alabama",15.5%,4720
1095,AL,"Marshall County, Alabama",13.3%,12490
1097,AL,"Mobile County, Alabama",19.7%,81590
1099,AL,"Monroe County, Alabama",24.1%,5430
1101,AL,"Montgomery County, Alabama",22.7%,51980
1103,AL,"Morgan County, Alabama",14.2%,17060
1105,AL,"Perry County, Alabama",30%,3060
1107,AL,"Pickens County, Alabama",22.1%,4340
1109,AL,"Pike County, Alabama",22.3%,7410
1111,AL,"Randolph County, Alabama",17.8%,4050
1113,AL,"Russell County, Alabama",21.2%,12100
1115,AL,"St. Clair County, Alabama",13.2%,11280
1117,AL,"Shelby County, Alabama",10.5%,21200
1119,AL,"Sumter County, Alabama",28.7%,3860
1121,AL,"Talladega County, Alabama",19.8%,16160
1123,AL,"Tallapoosa County, Alabama",18.8%,7750
1125,AL,"Tuscaloosa County, Alabama",18%,35790
1127,AL,"Walker County, Alabama",16.3%,10770
1129,AL,"Washington County, Alabama",16.9%,2890
1131,AL,"Wilcox County, Alabama",33%,3760
1133,AL,"Winston County, Alabama",15.9%,3850
2013,AK,"Aleutians East Borough, Alaska",14.3%,470
2016,AK,"Aleutians West Census Area, Alaska",14.6%,830
2020,AK,"Anchorage Municipality, Alaska",12.7%,37940
2050,AK,"Bethel Census Area, Alaska",21.8%,3820
2060,AK,"Bristol Bay Borough, Alaska",14%,140
2068,AK,"Denali Borough, Alaska",14.9%,310
2070,AK,"Dillingham Census Area, Alaska",17.8%,880
2090,AK,"Fairbanks North Star Borough, Alaska",13.4%,13300
2100,AK,"Haines Borough, Alaska",15.3%,390
2105,AK,"Hoonah-Angoon Census Area, Alaska",20.2%,430
2110,AK,"Juneau City and Borough, Alaska",11.3%,3650
2122,AK,"Kenai Peninsula Borough, Alaska",13.3%,7530
2130,AK,"Ketchikan Gateway Borough, Alaska",15.2%,2080
2150,AK,"Kodiak Island Borough, Alaska",13%,1810
2164,AK,"Lake and Peninsula Borough, Alaska",20.5%,300
2170,AK,"Matanuska-Susitna Borough, Alaska",12.9%,12110
2180,AK,"Nome Census Area, Alaska",21.3%,2090
2185,AK,"North Slope Borough, Alaska",14.5%,1400
2188,AK,"Northwest Arctic Borough, Alaska",22.5%,1730
2195,AK,"Petersburg Borough, Alaska",14.7%,470
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",18.2%,1160
2220,AK,"Sitka City and Borough, Alaska",12.8%,1150
2230,AK,"Skagway Municipality, Alaska",15.9%,160
2240,AK,"Southeast Fairbanks Census Area, Alaska",17.2%,1210
2261,AK,"Valdez-Cordova Census Area, Alaska",13.5%,1300
2270,AK,"Wade Hampton Census Area, Alaska",26.7%,2080
2275,AK,"Wrangell City and Borough, Alaska",14.8%,350
2282,AK,"Yakutat City and Borough, Alaska",16.5%,100
2290,AK,"Yukon-Koyukuk Census Area, Alaska",23.1%,1300
4001,AZ,"Apache County, Arizona",26.4%,19060
4003,AZ,"Cochise County, Arizona",16.1%,21030
4005,AZ,"Coconino County, Arizona",19.9%,27040
4007,AZ,"Gila County, Arizona",18.4%,9810
4009,AZ,"Graham County, Arizona",15.8%,5900
4011,AZ,"Greenlee County, Arizona",14.2%,1250
4012,AZ,"La Paz County, Arizona",16.1%,3270
4013,AZ,"Maricopa County, Arizona",15.8%,622530
4015,AZ,"Mohave County, Arizona",19.2%,38950
4017,AZ,"Navajo County, Arizona",22.8%,24480
4019,AZ,"Pima County, Arizona",15.4%,153150
4021,AZ,"Pinal County, Arizona",15.3%,59780
4023,AZ,"Santa Cruz County, Arizona",12.2%,5780
4025,AZ,"Yavapai County, Arizona",17%,36420
4027,AZ,"Yuma County, Arizona",20%,40340
5001,AR,"Arkansas County, Arkansas",19.9%,3750
5003,AR,"Ashley County, Arkansas",21.4%,4580
5005,AR,"Baxter County, Arkansas",16.4%,6740
5007,AR,"Benton County, Arkansas",12.9%,30010
5009,AR,"Boone County, Arkansas",16.7%,6200
5011,AR,"Bradley County, Arkansas",22.1%,2500
5013,AR,"Calhoun County, Arkansas",19.5%,1030
5015,AR,"Carroll County, Arkansas",14.6%,4020
5017,AR,"Chicot County, Arkansas",28.5%,3270
5019,AR,"Clark County, Arkansas",21.9%,5000
5021,AR,"Clay County, Arkansas",18.4%,2870
5023,AR,"Cleburne County, Arkansas",17%,4390
5025,AR,"Cleveland County, Arkansas",18.3%,1570
5027,AR,"Columbia County, Arkansas",23.8%,5820
5029,AR,"Conway County, Arkansas",19.1%,4040
5031,AR,"Craighead County, Arkansas",19.7%,19670
5033,AR,"Crawford County, Arkansas",16.1%,9930
5035,AR,"Crittenden County, Arkansas",26.7%,13390
5037,AR,"Cross County, Arkansas",21.1%,3720
5039,AR,"Dallas County, Arkansas",23.8%,1900
5041,AR,"Desha County, Arkansas",27.6%,3480
5043,AR,"Drew County, Arkansas",24.8%,4650
5045,AR,"Faulkner County, Arkansas",17.7%,20810
5047,AR,"Franklin County, Arkansas",16.6%,2980
5049,AR,"Fulton County, Arkansas",17%,2080
5051,AR,"Garland County, Arkansas",18.7%,18110
