"FIPS","State","County, State","2015 Food Insecurity Rate","# of Food Insecure Persons in 2015","Low Threshold in state","Low Threshold Type","High Threshold in state","High Threshold Type","% FI ≤ Low Threshold","% FI Btwn Thresholds","% FI > High Threshold","2015 Child food insecurity rate","# of Food Insecure Children in 2015","% food insecure children in HH w/ HH incomes below 185 FPL in 2015","% food insecure children in HH w/ HH incomes above 185 FPL in 2015","2015 Cost Per Meal","2015 Weighted Annual Food Budget Shortfall"
"1001","AL","Autauga County, Alabama","13.9%","  7,680 ","130%","SNAP","185%","Other Nutrition Program","47.2%","22.1%","30.7%","21.0%","  2,950 ","73%","27%","$3.18","$4,376,000.00"
"1003","AL","Baldwin County, Alabama","13.0%","  25,350 ","130%","SNAP","185%","Other Nutrition Program","52.6%","16.8%","30.6%","22.0%","  9,620 ","72%","28%","$3.40","$15,466,000.00"
"1005","AL","Barbour County, Alabama","23.4%","  6,290 ","130%","SNAP","185%","Other Nutrition Program","55.6%","23.6%","20.8%","29.6%","  1,700 ","80%","20%","$3.05","$3,442,000.00"
"1007","AL","Bibb County, Alabama","16.1%","  3,650 ","130%","SNAP","185%","Other Nutrition Program","53.8%","25.6%","20.6%","25.0%","  1,230 ","98%","2%","$2.89","$1,888,000.00"
"1009","AL","Blount County, Alabama","11.3%","  6,510 ","130%","SNAP","185%","Other Nutrition Program","64.0%","17.5%","18.6%","23.9%","  3,260 ","75%","25%","$3.02","$3,528,000.00"
"1011","AL","Bullock County, Alabama","24.4%","  2,610 ","130%","SNAP","185%","Other Nutrition Program","51.2%","32.6%","16.2%","25.5%","  570 ","82%","18%","$3.12","$1,460,000.00"
"1013","AL","Butler County, Alabama","22.0%","  4,480 ","130%","SNAP","185%","Other Nutrition Program","62.9%","22.5%","14.6%","27.3%","  1,290 ","84%","16%","$2.90","$2,327,000.00"
"1015","AL","Calhoun County, Alabama","17.4%","  20,280 ","130%","SNAP","185%","Other Nutrition Program","58.6%","18.6%","22.8%","26.3%","  6,860 ","82%","18%","$2.91","$10,597,000.00"
"1017","AL","Chambers County, Alabama","20.3%","  6,920 ","130%","SNAP","185%","Other Nutrition Program","59.9%","22.2%","17.9%","26.1%","  1,920 ","83%","17%","$2.80","$3,477,000.00"
"1019","AL","Cherokee County, Alabama","13.9%","  3,630 ","130%","SNAP","185%","Other Nutrition Program","63.3%","23.1%","13.6%","26.1%","  1,390 ","87%","14%","$3.06","$1,991,000.00"
"1021","AL","Chilton County, Alabama","13.5%","  5,930 ","130%","SNAP","185%","Other Nutrition Program","68.9%","14.3%","16.9%","24.9%","  2,640 ","87%","13%","$2.93","$3,115,000.00"
"1023","AL","Choctaw County, Alabama","21.2%","  2,850 ","130%","SNAP","185%","Other Nutrition Program","54.9%","22.0%","23.2%","26.1%","  730 ","74%","26%","$2.86","$1,463,000.00"
"1025","AL","Clarke County, Alabama","24.7%","  6,200 ","130%","SNAP","185%","Other Nutrition Program","54.4%","21.0%","24.6%","27.0%","  1,550 ","71%","29%","$2.85","$3,172,000.00"
"1027","AL","Clay County, Alabama","15.0%","  2,030 ","130%","SNAP","185%","Other Nutrition Program","66.9%","26.6%","6.4%","24.0%","  710 ","100%","0%","$2.99","$1,087,000.00"
"1029","AL","Cleburne County, Alabama","13.5%","  2,020 ","130%","SNAP","185%","Other Nutrition Program","55.4%","24.0%","20.6%","25.3%","  880 ","76%","25%","$2.91","$1,055,000.00"
"1031","AL","Coffee County, Alabama","15.1%","  7,700 ","130%","SNAP","185%","Other Nutrition Program","55.2%","16.8%","28.0%","23.8%","  2,880 ","72%","28%","$3.32","$4,578,000.00"
"1033","AL","Colbert County, Alabama","16.6%","  9,040 ","130%","SNAP","185%","Other Nutrition Program","56.7%","18.8%","24.5%","26.0%","  3,080 ","74%","27%","$2.62","$4,243,000.00"
"1035","AL","Conecuh County, Alabama","24.4%","  3,140 ","130%","SNAP","185%","Other Nutrition Program","70.5%","17.8%","11.7%","28.6%","  810 ","76%","24%","$2.86","$1,612,000.00"
"1037","AL","Coosa County, Alabama","17.7%","  1,950 ","130%","SNAP","185%","Other Nutrition Program","60.0%","34.6%","5.4%","24.2%","  500 ","100%","0%","$3.26","$1,141,000.00"
"1039","AL","Covington County, Alabama","16.3%","  6,180 ","130%","SNAP","185%","Other Nutrition Program","63.3%","20.0%","16.7%","26.9%","  2,260 ","83%","17%","$2.86","$3,171,000.00"
"1041","AL","Crenshaw County, Alabama","16.7%","  2,320 ","130%","SNAP","185%","Other Nutrition Program","58.6%","21.2%","20.2%","22.2%","  710 ","72%","28%","$3.06","$1,274,000.00"
"1043","AL","Cullman County, Alabama","12.9%","  10,480 ","130%","SNAP","185%","Other Nutrition Program","69.4%","19.2%","11.5%","24.3%","  4,440 ","90%","10%","$2.79","$5,241,000.00"
"1045","AL","Dale County, Alabama","16.8%","  8,390 ","130%","SNAP","185%","Other Nutrition Program","55.2%","14.8%","29.9%","24.1%","  2,880 ","69%","31%","$2.95","$4,436,000.00"
"1047","AL","Dallas County, Alabama","29.8%","  12,550 ","130%","SNAP","185%","Other Nutrition Program","65.1%","21.8%","13.1%","31.5%","  3,390 ","75%","25%","$3.11","$7,003,000.00"
"1049","AL","DeKalb County, Alabama","11.7%","  8,350 ","130%","SNAP","185%","Other Nutrition Program","76.0%","20.5%","3.5%","23.2%","  4,160 ","95%","5%","$2.93","$4,386,000.00"
"1051","AL","Elmore County, Alabama","14.2%","  11,430 ","130%","SNAP","185%","Other Nutrition Program","44.5%","14.0%","41.5%","21.4%","  3,980 ","65%","35%","$3.30","$6,771,000.00"
"1053","AL","Escambia County, Alabama","20.1%","  7,610 ","130%","SNAP","185%","Other Nutrition Program","62.1%","22.7%","15.1%","25.5%","  2,160 ","93%","7%","$2.85","$3,889,000.00"
"1055","AL","Etowah County, Alabama","15.9%","  16,450 ","130%","SNAP","185%","Other Nutrition Program","62.5%","18.8%","18.7%","25.7%","  5,940 ","78%","22%","$2.82","$8,332,000.00"
