FIPS,State,"County, State",2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2018 Child food insecurity rate,# of Food Insecure Children in 2018,% food insecure children in HH w/ HH incomes below 185 FPL in 2018,% food insecure children in HH w/ HH incomes above 185 FPL in 2018,2018 Cost Per Meal,2018 Weighted Annual Food Budget Shortfall
1001,AL,"Autauga County, Alabama",15.6%,8620,130%,SNAP,185%,Other Nutrition Program,46.2%,13.2%,40.5%,21.4%,2870,69%,31%,$3.33,"$4,857,000.00"
1003,AL,"Baldwin County, Alabama",12.9%,26860,130%,SNAP,185%,Other Nutrition Program,37.1%,18.7%,44.2%,16.9%,7710,74%,27%,$3.58,"$16,274,000.00"
1005,AL,"Barbour County, Alabama",21.9%,5650,130%,SNAP,185%,Other Nutrition Program,65.1%,10.8%,24.1%,32%,1740,76%,25%,$3.12,"$2,988,000.00"
1007,AL,"Bibb County, Alabama",15.1%,3400,130%,SNAP,185%,Other Nutrition Program,46.9%,21.2%,31.9%,20.9%,970,92%,8%,$2.94,"$1,690,000.00"
1009,AL,"Blount County, Alabama",13.6%,7810,130%,SNAP,185%,Other Nutrition Program,42.9%,27.9%,29.2%,19.1%,2580,94%,6%,$3.14,"$4,149,000.00"
1011,AL,"Bullock County, Alabama",20.5%,2120,130%,SNAP,185%,Other Nutrition Program,74.9%,0.3%,24.7%,32.4%,700,52%,48%,$3.32,"$1,192,000.00"
1013,AL,"Butler County, Alabama",19.1%,3820,130%,SNAP,185%,Other Nutrition Program,66.9%,13%,20.1%,27%,1230,80%,20%,$2.97,"$1,917,000.00"
1015,AL,"Calhoun County, Alabama",17.4%,20050,130%,SNAP,185%,Other Nutrition Program,55.3%,19.5%,25.2%,24.6%,6210,87%,13%,$2.98,"$10,097,000.00"
1017,AL,"Chambers County, Alabama",16.4%,5530,130%,SNAP,185%,Other Nutrition Program,60.3%,22.7%,17%,22.2%,1560,86%,14%,$2.92,"$2,730,000.00"
1019,AL,"Cherokee County, Alabama",15.6%,4040,130%,SNAP,185%,Other Nutrition Program,48.7%,31.1%,20.2%,21.1%,1110,94%,6%,$3.25,"$2,221,000.00"
