fips,state,county,lat,lon,total_population,area_sqmi,population_density_per_sqmi,percent_fair_or_poor_health,average_number_of_mentally_unhealthy_days,percent_low_birthweight,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_with_access_to_exercise_opportunities,teen_birth_rate,percent_uninsured,primary_care_physicians_rate,mental_health_provider_rate,high_school_graduation_rate,percent_some_college,labor_force,percent_unemployed_CHR,percent_children_in_poverty,num_households_CHR,percent_single_parent_households_CHR,violent_crime_rate,percent_severe_housing_problems,severe_housing_cost_burden,life_expectancy,age_adjusted_death_rate,child_mortality_rate,infant_mortality_rate,percent_adults_with_diabetes,num_food_insecure,percent_food_insecure,num_limited_access_to_healthy_foods,percent_limited_access_to_healthy_foods,median_household_income,percent_enrolled_in_free_or_reduced_lunch,segregation_index,segregation_index_2,homicide_rate,suicide_rate_age_adjusted,juvenile_arrest_rate,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_american_indian_alaska_native,percent_asian,percent_native_hawaiian_other_pacific_islander,percent_hispanic,percent_non_hispanic_white,percent_not_proficient_in_english,percent_female,percent_rural,num_below_poverty,per_capita_income,percent_below_poverty,percent_unemployed_CDC,percent_no_highschool_diploma,percent_age_65_and_older,percent_age_17_and_younger,percent_disabled,percent_minorities,percent_limited_english_abilities,percentile_rank_social_vulnerability
1001,Alabama,Autauga,32.5349279554825,-86.6427478088138,55049,594.44611990953,92.6055333801792,20.882987328,4.6540313965,8.6195286195,18.08155718,33.3,7.2,34.7,69.130124059,25.284927164,8.7216859511,45.0418,23.38087,90,62.009973681,25957,3.6290788612,19.3,13318,26.242679081,272.28222006,14.663461538,12.826718296,76.879477172,417.54755051,55.922156358,7.9401088929,11.1,7270,13.2,6543.6768239,11.991125,59338,43.408673083,24.619137861,23.628395199,4.8966169531,18.145295478,10.625,74.894624674,13.403481168,23.67403464,15.562669736,19.343177281,0.4802071905,1.2247981151,0.1115087858,2.9657739969,74.308016043,0.8202245028,51.448714951,42.002162321,6697,26168,12.3,5.6,12.4,14,25.2,18.4,24.3,0.8,0.3773
1003,Alabama,Baldwin,30.7274889936377,-87.7225752373643,199510,1589.80742490394,125.493186705965,17.50913436,4.3040564688,8.3450031827,17.489032597,31,8,26.5,73.713548953,27.88069221,11.333404467,72.89727,96.32055,86.361576801,67.371619818,93849,3.6153821564,13.9,45415,24.139601453,203.66039629,13.566200931,12.277388019,78.450258368,353.34311052,47.381749857,5.5467006694,10.7,23560,11.6,9886.831137,5.424426597,57588,48.486564722,41.271762768,31.825343231,3.0083330826,19.377510546,26.19266055,73.619343186,11.725807954,21.607911128,20.443349754,8.783975929,0.7723991157,1.150342626,0.0669657191,4.6467787654,83.111337388,0.5435169824,51.538376861,42.279099114,25551,28069,13,6.3,10,18.7,22.2,13.9,16.8,0.8,0.2757
1005,Alabama,Barbour,31.8695888091185,-85.3932129145765,26614,884.87577598536,30.0765381110855,29.591801708,5.1855944125,11.474558671,21.999984528,41.7,5.6,23.5,53.166769858,40.870815362,12.242792457,31.65809,8.03826,81.41025641,34.857648621,8373,5.1713842112,43.9,5429,56.603426045,414.27786068,14.583333333,13.445945946,75.34193493,497.35006209,74.225273706,NA,17.6,5760,22,2948.790251,10.739666573,34382,63.292302039,25.039132349,23.449712509,7.6182598806,12.836103622,15,61.397779229,14.059546314,20.867328484,19.420441301,48.032635344,0.6591374945,0.4541618102,0.1848800289,4.276355452,45.641252361,1.6316825189,47.216751738,67.789634702,6235,17249,26.4,12.8,26.2,16.5,21.5,21.5,54.1,1.5,0.9847
1007,Alabama,Bibb,32.9986341529285,-87.1264801385788,22572,622.582354893018,36.2554444767049,19.439724157,4.5516988486,10.308710033,19.114199885,37.6,7.8,33.5,16.251363736,41.696794408,10.206252586,48.52656,22.32143,83.763837638,44.137353434,8661,3.9718277335,27.8,4608,28.689236111,89.349125982,10.496453901,9.9782766112,73.571820279,589.04111681,85.8000858,12.244897959,14.5,3240,14.3,596.16282881,2.6016270077,46064,61.562115621,52.60379424,52.600205502,8.2325896561,20.858766218,NA,75.073099415,9.886874322,20.477678571,16.473214286,21.120535714,0.4375,0.2366071429,0.1160714286,2.625,74.589285714,0.2682100508,46.78125,68.352607462,3390,18988,16.5,7.1,19.3,14.9,21.1,14.8,25.2,0.4,0.5737
1009,Alabama,Blount,33.98087819855,-86.5673834130292,57704,644.80650802125,89.4904119021366,21.745292814,4.8914546677,7.6045627376,19.20867197,33.8,8.4,30.3,15.634485887,33.5345953,13.360759494,22.40877,15.56017,93.468795356,53.361073248,25006,3.5111573222,18,13392,28.561827957,482.69061089,10.548011639,7.851445663,74.145825897,515.61182276,83.798882682,6.8419927304,17,6140,10.7,1650.9594817,2.8801498232,50412,52.90628707,48.214822884,17.694494741,6.4253534562,17.062627954,7.4603174603,78.626213592,8.4622572942,23.153526971,18.236514523,1.4626556017,0.653526971,0.3198478562,0.1210235131,9.571230982,86.886237898,1.7245199409,50.726141079,89.951502041,9441,21033,16.5,6,20,17.2,23.6,14.9,12.3,1.9,0.4986
1011,Alabama,Bullock,32.1005343779333,-85.7156862699383,10552,622.805358527872,16.9426930187977,30.999101851,4.8913510426,15.688487585,22.894664011,37.2,4.3,24.6,2.5013743815,47.916666667,11.440376122,29.10079,19.72776,70.247933884,34.976094152,4776,4.6901172529,68.3,2142,74.789915966,311.0273327,18.143459916,15.210449927,73.530894789,562.24752995,149.61445506,NA,23.7,2600,24.8,2154.7892998,19.743350741,29267,75.786593707,31.846481475,30.618760426,NA,NA,17.777777778,75.53338875,18.501529052,21.079108305,16.38390215,69.540343263,0.8384296705,0.1874136911,0.7496547643,7.960149931,21.217202604,0.4407544075,45.482343658,51.374381528,2728,17909,26.9,13.3,33.4,15.1,21.6,17.6,78.3,1,0.9363
1013,Alabama,Butler,31.7524178062516,-86.6803028820603,20280,776.828047127664,26.1061634875127,27.910673184,5.340750195,12.680288462,21.765334963,43.3,6.6,39.5,48.57974889,37.886100386,11.186009539,25.22068,50.81301,81.589958159,41.678756477,8914,4.7902176352,36.3,4534,52.712836348,581.58400519,13.159609121,11.692307692,72.918309203,609.16970743,98.19431564,NA,19.2,4160,20.6,612.93476079,2.9261219306,37365,79.15713819,38.011215614,37.511848048,19.213663049,9.2341684139,2.380952381,69.946332737,11.545956479,22.245934959,20.299796748,44.557926829,0.3760162602,1.3160569106,0.0508130081,1.5091463415,51.255081301,0.4941551541,53.429878049,71.23215735,5126,19011,25.7,9.8,18.9,18.1,23.3,19.4,47.2,0.9,0.9166
1015,Alabama,Calhoun,33.771436514234,-85.8260345892421,115883,605.888794766738,191.261170368094,23.107733221,4.8160722877,9.1613736678,20.612560375,38.5,6.9,31.7,47.721215801,33.534616991,11.929167524,63.62876,115.50881,92.368045649,59.243988636,45972,4.6528321587,26.5,24903,40.191944746,756.06654427,13.734191258,11.824932493,73.039108585,574.56384163,65.813090822,8.0260303688,17.5,18100,15.7,10883.209969,9.178566583,45400,58.837593215,44.542304124,40.68118287,9.7629216594,19.843747846,37.264957265,69.473497213,11.722432218,21.609772745,17.717475958,20.850214829,0.5399161686,0.9643235297,0.1102584072,3.9106731888,72.024991906,0.9913761333,51.946585927,33.696825557,22135,22231,19.6,11.7,17.7,15.9,22.1,20.4,27,0.7,0.816
1017,Alabama,Chambers,32.9143528740884,-85.3920334889517,34018,596.531111636342,57.0263634811693,23.995473603,4.8735807661,12.213740458,19.392927053,40.1,6.4,30.1,61.864679234,45.441001192,11.938076809,41.52701,5.94972,86.23853211,48.460334029,15276,3.9080911233,30.7,6953,46.555443693,528.99973623,15.9566787,12.377079482,74.291076031,511.62651724,87.568741462,8.1061164333,19.9,6070,17.9,3533.9162159,10.328558281,39917,71.121351767,26.747861297,25.672844447,10.522062661,20.818126034,NA,67.7641314,12.381027919,20.800237989,19.521047152,39.565670088,0.3064108285,1.326788636,0.0446229362,2.5613565373,55.231295553,0.1129376333,52.125539194,49.148034488,6805,21532,20.3,7.5,19.7,18.4,21.4,17.7,43.3,0.4,0.8408
1019,Alabama,Cherokee,34.1759260075593,-85.6038003875482,25897,553.719701025162,46.7691504420992,20.698470599,4.7112704225,8.2725060827,17.498673785,35,8.3,31.3,33.429527877,36.568760941,11.172649917,38.67425,19.20713,94.904458599,51.836210062,11622,3.5708139735,24.7,5261,23.778749287,330.43879198,13,11.152073733,73.998833761,545.23369024,63.722366551,NA,15.2,3230,12.5,57.464901716,0.2211124003,42132,61.606243706,32.057709232,29.493789431,8.8040762873,23.823688351,NA,78.955308316,9.945695897,19.168715427,22.971727105,4.2409342348,0.6607252612,0.3380454825,0.0307314075,1.6210817455,91.656422864,0.4016390117,50.460971112,85.736273039,4188,22544,16.4,5.9,18.7,20.3,20.6,21.4,8.1,0.1,0.419
