fips,state,area_name,less_than_high_school_diploma,bachelor_degree_or_higher,percent_of_adults_with_less_than_high_school_diploma,percent_of_adults_with_high_school_diploma_only,percent_of_adults_completing_some_college_or_associate_degree,percent_of_adults_with_bachelor_degree_or_higher
1001,AL,Autauga County,"4,291","9,929",11.5,33.6,28.4,26.6
1003,AL,Baldwin County,"13,893","48,148",9.2,27.7,31.3,31.9
1005,AL,Barbour County,"4,812","2,080",26.8,35.6,26,11.6
1007,AL,Bibb County,"3,386","1,678",20.9,44.9,23.8,10.4
1009,AL,Blount County,"7,763","5,210",19.5,33.4,34,13.1
1011,AL,Bullock County,"1,798",856,25.3,40.3,22.3,12.1
1013,AL,Butler County,"2,066","2,230",15,45.2,23.7,16.1
1015,AL,Calhoun County,"12,315","14,620",15.6,32.8,33.2,18.5
1017,AL,Chambers County,"4,372","3,163",18.4,36.7,31.6,13.3
1019,AL,Cherokee County,"3,478","2,407",18.4,40.3,28.6,12.8
1021,AL,Chilton County,"5,474","3,823",18.2,44.4,24.6,12.7
1023,AL,Choctaw County,"1,737","1,113",18.6,37.7,31.8,11.9
1025,AL,Clarke County,"3,259","2,050",19.4,41.8,26.6,12.2
1027,AL,Clay County,"2,205",999,23.3,37.8,28.3,10.6
1029,AL,Cleburne County,"2,198","1,616",21,38,25.6,15.4
1031,AL,Coffee County,"4,967","8,044",14.1,27.2,35.9,22.8
1033,AL,Colbert County,"5,783","7,070",14.8,37.8,29.2,18.1
1035,AL,Conecuh County,"1,384","1,128",15.7,51.1,20.4,12.8
1037,AL,Coosa County,"1,652","1,059",20,40.3,26.9,12.8
1039,AL,Covington County,"4,366","4,020",16.6,37.3,30.8,15.3
1041,AL,Crenshaw County,"2,016","1,687",20.8,39.5,22.3,17.4
1043,AL,Cullman County,"10,648","8,004",18.4,34.1,33.6,13.9
1045,AL,Dale County,"4,651","6,078",13.9,32.3,35.7,18.1
1047,AL,Dallas County,"4,757","3,854",18.2,35.9,31.2,14.7
1049,AL,DeKalb County,"12,072","6,246",25.2,34.2,27.6,13
1051,AL,Elmore County,"7,503","14,060",13.4,32.5,29.1,25.1
1053,AL,Escambia County,"4,878","3,224",18.9,43.7,24.9,12.5
1055,AL,Etowah County,"11,127","12,815",15.4,32.9,33.9,17.8
1057,AL,Fayette County,"2,037","1,451",17.4,41.3,28.9,12.4
1059,AL,Franklin County,"4,739","2,907",22.8,36.6,26.6,14
1061,AL,Geneva County,"3,672","2,331",19.7,36,31.8,12.5
1063,AL,Greene County,"1,204",586,20.8,38.6,30.5,10.1
1065,AL,Hale County,"1,587","1,411",16,43.4,26.4,14.2
1067,AL,Henry County,"2,509","2,076",20.6,32.6,29.8,17.1
1069,AL,Houston County,"10,076","15,672",14,31.2,33.1,21.7
1071,AL,Jackson County,"6,218","5,175",16.8,41,28.2,14
1073,AL,Jefferson County,"44,684","150,124",9.9,26.4,30.3,33.4
1075,AL,Lamar County,"1,737","1,174",17.7,39.8,30.6,11.9
1077,AL,Lauderdale County,"8,026","14,948",12.6,36,27.9,23.5
1079,AL,Lawrence County,"4,825","2,930",20.7,41.2,25.5,12.6
1081,AL,Lee County,"8,849","34,273",9.1,23.7,31.8,35.3
1083,AL,Limestone County,"10,098","16,971",15.3,30.4,28.6,25.7
1085,AL,Lowndes County,"1,529","1,037",21.7,39.6,24,14.7
1087,AL,Macon County,"2,190","2,450",18.2,30.2,31.2,20.4
1089,AL,Madison County,"20,562","105,935",8.3,20.6,28.3,42.8
1091,AL,Marengo County,"2,118","2,109",16.2,38,29.8,16.1
1093,AL,Marion County,"4,345","2,715",20.4,34.8,32,12.8
1095,AL,Marshall County,"11,761","12,387",18.4,31.1,31.1,19.4
1097,AL,Mobile County,"37,736","64,689",13.5,34,29.3,23.2
1099,AL,Monroe County,"2,113","1,983",14.4,47.2,24.9,13.5
1101,AL,Montgomery County,"19,978","50,254",13.3,25,28.4,33.4
1103,AL,Morgan County,"13,137","18,476",15.9,30.4,31.3,22.4
1105,AL,Perry County,"1,010","1,340",17.2,36.9,23.1,22.8
1107,AL,Pickens County,"2,680","2,047",18.5,37.2,30.2,14.1
1109,AL,Pike County,"2,901","4,580",15,35.7,25.5,23.7
1111,AL,Randolph County,"3,213","2,607",20.4,34.9,28.2,16.5
1113,AL,Russell County,"6,297","6,937",16.2,31.4,34.6,17.8
1115,AL,St. Clair County,"9,488","9,880",15.4,35.6,32.9,16.1
1117,AL,Shelby County,"10,658","62,431",7.3,19.8,29.9,42.9
1119,AL,Sumter County,"1,076","1,744",13.3,35.4,29.8,21.6
1121,AL,Talladega County,"11,014","8,377",19.7,33.7,31.6,15
1123,AL,Tallapoosa County,"5,546","5,287",19.3,32.7,29.5,18.4
1125,AL,Tuscaloosa County,"15,036","39,660",11.7,29.9,27.7,30.7
1127,AL,Walker County,"8,141","5,080",18.2,37.5,33,11.3
1129,AL,Washington County,"1,971","1,437",17.4,43.1,26.9,12.7
1131,AL,Wilcox County,"1,675",889,23.5,39.5,24.5,12.5
1133,AL,Winston County,"3,635","2,201",21.2,38.2,27.8,12.8
2010,AK,Aleutian Islands,,,,,,
2013,AK,Aleutians East Borough,380,301,14.5,43.5,30.5,11.5
2016,AK,Aleutians West Census Area,435,703,10.5,39,33.4,17
2020,AK,Anchorage Municipality,"11,701","69,282",6.1,23.4,34.4,36.1
2050,AK,Bethel Census Area,"1,871","1,164",19.1,46.4,22.6,11.9
2060,AK,Bristol Bay Borough,38,143,6,37,34.5,22.5
2068,AK,Denali Borough,25,668,1.5,26,31.4,41.1
2070,AK,Dillingham Census Area,396,639,13.7,37.2,27,22.1
2090,AK,Fairbanks North Star Borough,"3,406","19,402",5.5,22.6,40.5,31.4
2100,AK,Haines Borough,46,625,2.5,30.2,33.6,33.8
2105,AK,Hoonah-Angoon Census Area,107,365,6.3,38.5,33.9,21.3
2110,AK,Juneau City and Borough,818,"8,666",3.6,21.6,36.4,38.4
2122,AK,Kenai Peninsula Borough,"2,977","9,995",7.3,31.2,36.8,24.6
2130,AK,Ketchikan Gateway Borough,697,"2,437",7.2,29.7,37.8,25.3
2150,AK,Kodiak Island Borough,912,"2,501",10.2,29.7,32.1,28
2158,AK,Kusilvak Census Area,847,157,21.1,56,19,3.9
2160,AK,Kuskokwim Division,,,,,,
2164,AK,Lake and Peninsula Borough,110,148,12,44.2,27.7,16.1
2170,AK,Matanuska-Susitna Borough,"4,808","14,725",7.1,33.1,38.3,21.6
2180,AK,Nome Census Area,852,891,15.4,41.1,27.3,16.1
2185,AK,North Slope Borough,668,"1,075",10.3,43,30.2,16.5
2188,AK,Northwest Arctic Borough,735,557,17.5,46.7,22.6,13.2
2195,AK,Petersburg Census Area,227,623,10.3,31.7,29.6,28.4
2198,AK,Prince of Wales-Hyder Census Area,410,814,9.2,37.9,34.6,18.3
2201,AK,Prince of Wales-Outer Ketchikan Census Area,,,,,,
2220,AK,Sitka City and Borough,325,"2,051",5.3,27.4,34,33.4
2230,AK,Skagway Municipality,46,257,5.3,29.2,35.9,29.6
2231,AK,Skagway-Yakutat-Angoon Census Area,,,,,,
2232,AK,Skagway-Hoonah-Angoon Census Area,,,,,,
2240,AK,Southeast Fairbanks Census Area,458,890,10.1,34.2,35.9,19.7
2250,AK,Upper Yukon Division,,,,,,
2261,AK,Valdez-Cordova Census Area,300,"1,998",4.6,30.8,33.7,30.8
2275,AK,Wrangell City and Borough,259,374,13.5,35.3,31.8,19.4
2280,AK,Wrangell-Petersburg Census Area,,,,,,
2282,AK,Yakutat City and Borough,39,100,8.8,33.5,35.1,22.6
2290,AK,Yukon-Koyukuk Census Area,483,468,14,40.2,32.2,13.6
4001,AZ,Apache County,"8,809","5,529",19.6,32.2,35.9,12.3
4003,AZ,Cochise County,"11,057","20,253",12.6,24.1,40.2,23.1
4005,AZ,Coconino County,"7,876","30,042",9.5,22,32.3,36.2
4007,AZ,Gila County,"5,378","7,368",13.7,27.9,39.7,18.7
