fips,fi_rate_18,ch_fi_rate_18,cpm_18
1001,15.6%,21.4%,US$3.33
1003,12.9%,16.9%,US$3.58
1005,21.9%,32%,US$3.12
1007,15.1%,20.9%,US$2.94
1009,13.6%,19.1%,US$3.14
1011,20.5%,32.4%,US$3.32
1013,19.1%,27%,US$2.97
1015,17.4%,24.6%,US$2.98
1017,16.4%,22.2%,US$2.92
1019,15.6%,21.1%,US$3.25
1021,15.8%,21%,US$3.15
1023,20.7%,31.6%,US$2.99
1025,21.1%,27.7%,US$2.93
1027,15.9%,21.4%,US$3.14
1029,17.5%,26.2%,US$3.04
1031,15.6%,21.7%,US$3.44
1033,16.4%,23.1%,US$2.87
1035,19.5%,27.8%,US$2.96
1037,16.4%,24.5%,US$3.35
1039,17.7%,25.1%,US$2.98
1041,16.6%,22.6%,US$3.29
1043,15.1%,20.2%,US$3.17
1045,18%,24.2%,US$3.18
1047,22.7%,32.6%,US$3.16
1049,16.6%,22.7%,US$3.16
1051,14.3%,19.3%,US$3.36
1053,19.4%,26.5%,US$2.99
1055,16.6%,24.6%,US$3.03
1057,18.3%,27.8%,US$3.24
1059,15.7%,23%,US$2.91
1061,19%,28.1%,US$2.95
1063,26.1%,38.6%,US$3.34
1065,20.7%,28.3%,US$3.31
1067,15.1%,21%,US$3.23
1069,16.9%,23.6%,US$3.24
1071,17.2%,24.3%,US$3.21
1073,16.1%,21.1%,US$3.21
1075,18.3%,27.4%,US$3.16
1077,14.9%,20.3%,US$2.93
1079,16.5%,22.7%,US$3.17
1081,15.5%,19.7%,US$3.56
1083,14.1%,19.3%,US$3.18
1085,23.4%,34.1%,US$3.33
1087,20.2%,29%,US$3.26
1089,13.6%,18%,US$3.17
1091,20.1%,25.5%,US$2.98
1093,17.8%,25.4%,US$3.15
1095,16.2%,23.3%,US$2.97
1097,16.8%,23.4%,US$3.16
1099,21.9%,28.8%,US$2.99
1101,17.8%,24.1%,US$3.26
1103,14.9%,20.5%,US$3.10
1105,27%,37.7%,US$3.07
1107,19.7%,29.2%,US$3.38
1109,18.8%,26%,US$3.41
1111,15.6%,22.4%,US$2.96
1113,18.2%,24.1%,US$3.14
1115,14.1%,18.5%,US$3.45
1117,10.6%,13.7%,US$3.39
1119,23%,31.2%,US$2.96
1121,17.7%,25.1%,US$3.29
1123,17.5%,26.3%,US$3.16
1125,14.8%,19%,US$3.47
1127,18%,25.8%,US$2.91
1129,19.3%,29.9%,US$3.20
1131,24.7%,34.9%,US$3.10
1133,17.1%,25.1%,US$2.89
2013,11.6%,16%,US$4.34
2016,11.3%,10.4%,US$6.45
2020,11.5%,16.1%,US$3.73
2050,21.1%,31%,US$4.09
2060,12.2%,16.5%,US$3.83
2068,14.9%,18%,US$3.75
2070,16.1%,24.2%,US$4.10
2090,11.5%,15.7%,US$3.68
2100,13.3%,21.9%,US$3.71
2105,15.5%,26.6%,US$3.52
2110,10.4%,14.1%,US$3.49
2122,13.9%,20.7%,US$4.34
2130,13.1%,19.2%,US$3.55
2150,12.3%,16.8%,US$3.85
2158,28%,43.2%,US$4.35
2164,17.3%,27.7%,US$3.83
2170,12.6%,18.6%,US$4.09
2180,19.1%,27.9%,US$4.35
2185,13.1%,18.4%,US$3.72
2188,21.2%,31.8%,US$3.94
2195,13.8%,22.1%,US$3.73
2198,17.8%,28.5%,US$3.52
2220,11%,13.6%,US$3.73
2230,13%,18.9%,US$3.70
2240,14.8%,22.1%,US$3.76
2261,11.9%,16.9%,US$3.83
2275,13.2%,18.4%,US$3.77
2282,11.9%,16.6%,US$3.94
2290,22%,35.3%,US$3.80
4001,22.6%,35%,US$3.22
4003,14.4%,21.6%,US$2.95
4005,14.3%,20.5%,US$3.29
4007,17.7%,29.8%,US$3.07
4009,14.6%,22.1%,US$2.96
4011,11.8%,15.8%,US$3.02
4012,17.5%,28.1%,US$3.06
4013,12.1%,17.2%,US$3.15
4015,16.8%,25.7%,US$3.13
4017,20.2%,31.3%,US$2.96
4019,13.6%,19.8%,US$3.10
4021,12.7%,19.3%,US$2.96
4023,15.3%,23.8%,US$2.58
4025,13.9%,20.7%,US$3.32
4027,18.8%,30.8%,US$2.72
5001,19.3%,25%,US$3.03
5003,19.6%,27.7%,US$2.95
5005,16.3%,23.2%,US$3.19
5007,11.6%,14.4%,US$3.02
5009,15.9%,22.7%,US$2.67
5011,19.6%,26.7%,US$2.88
5013,16.9%,26.5%,US$2.83
5015,14.4%,19.2%,US$2.98
5017,23.9%,33.4%,US$2.91
5019,17.5%,23.7%,US$2.98
5021,19.9%,28.8%,US$2.65
5023,16.1%,23.3%,US$3.10
5025,17.5%,26.6%,US$2.95
