fips,unemployment_rate_2019,med_household_inc_19,med_hh_income_percent_of_state_total_2019
1000,3,"51,771",100
1001,2.7,"58,233",112.5
1003,2.7,"59,871",115.6
1005,3.8,"35,972",69.5
1007,3.1,"47,918",92.6
1009,2.7,"52,902",102.2
1011,3.6,"31,906",61.6
1013,3.6,"39,944",77.2
1015,3.5,"47,747",92.2
1017,2.9,"42,015",81.2
1019,2.9,"45,982",88.8
1021,2.7,"49,692",96
1023,4.7,"39,808",76.9
1025,5.8,"43,822",84.6
1027,3,"40,562",78.3
1029,3.2,"51,276",99
1031,2.9,"57,299",110.7
1033,3.7,"46,683",90.2
1035,4,"41,539",80.2
1037,3,"42,024",81.2
1039,3.4,"44,836",86.6
1041,2.8,"43,309",83.7
1043,2.6,"50,897",98.3
1045,3.1,"45,120",87.2
1047,5.5,"34,034",65.7
1049,2.8,"44,277",85.5
1051,2.6,"62,310",120.4
1053,3.5,"42,712",82.5
1055,3.3,"43,047",83.1
1057,3.1,"44,212",85.4
1059,2.8,"44,874",86.7
1061,2.9,"43,089",83.2
1063,5.6,"28,699",55.4
1065,3.9,"40,745",78.7
1067,3.6,"48,597",93.9
1069,3,"50,138",96.8
1071,3.3,"44,322",85.6
1073,2.9,"54,127",104.6
1075,3.1,"42,686",82.5
1077,3.3,"48,188",93.1
1079,3.1,"47,797",92.3
1081,2.7,"54,160",104.6
1083,2.6,"64,729",125
1085,5.7,"33,930",65.5
1087,4.3,"34,281",66.2
1089,2.5,"68,609",132.5
1091,3.5,"38,838",75
1093,3.4,"44,675",86.3
1095,2.5,"48,913",94.5
1097,3.7,"49,492",95.6
1099,4.9,"40,005",77.3
1101,3.1,"52,711",101.8
1103,2.6,"54,355",105
1105,5.2,"29,572",57.1
1107,3.5,"40,249",77.7
1109,3.3,"41,271",79.7
1111,3,"42,922",82.9
1113,2.9,"43,670",84.4
1115,2.7,"65,403",126.3
1117,2.2,"77,801",150.3
1119,4.5,"29,209",56.4
1121,3.4,"47,719",92.2
1123,3,"47,100",91
1125,2.7,"52,307",101
1127,3.3,"45,991",88.8
1129,4.6,"48,864",94.4
1131,7.1,"30,998",59.9
1133,3.3,"40,827",78.9
2000,6.1,"77,203",100
2013,2.8,"66,923",86.7
2016,3.6,"84,726",109.7
2020,5.1,"82,512",106.9
2050,12.9,"48,262",62.5
2060,6.1,"87,950",113.9
2068,8.5,"78,434",101.6
2070,8.1,"57,436",74.4
2090,5.4,"74,076",95.9
2100,8.9,"62,548",81
2105,11.4,"53,141",68.8
2110,4.4,"85,419",110.6
2122,6.8,"68,625",88.9
2130,6.2,"75,706",98.1
2150,5.6,"79,669",103.2
2158,19.3,"35,369",45.8
2164,9.9,"51,693",67
2170,6.9,"75,856",98.3
2180,10.9,"58,464",75.7
