State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
ALABAMA,HUNTSVILLE4,2018.0,196620,,,,,,,,,,
ALABAMA,HUNTSVILLE4,2019.0,196620,872,12,79,159,622,3854,554,2804,496,
ALABAMA,TUSCALOOSA,2018.0,101764,253,3,20,71,159,2092,414,1569,109,
ALABAMA,TUSCALOOSA,2019.0,101764,311,4,18,92,197,2166,347,1672,147,
ARIZONA,CHANDLER,2018.0,255986,287,1,74,62,150,2771,369,2241,161,8
ARIZONA,CHANDLER,2019.0,255986,295,2,63,55,175,2511,281,2076,154,9
ARIZONA,GILBERT,2018.0,247463,132,1,49,15,67,1705,214,1409,82,5
ARIZONA,GILBERT,2019.0,247463,116,0,27,21,68,1416,185,1167,64,6
ARIZONA,GLENDALE,2018.0,249799,594,7,69,171,347,4830,756,3581,493,34
ARIZONA,GLENDALE,2019.0,249799,384,8,29,122,225,4067,733,2958,376,
ARIZONA,MESA,2018.0,504873,967,10,143,192,622,5113,751,3901,461,7
ARIZONA,MESA,2019.0,504873,969,4,133,177,655,4813,722,3692,399,11
ARIZONA,PEORIA,2018.0,170177,201,2,33,29,137,1596,281,1224,91,4
ARIZONA,PEORIA,2019.0,170177,219,1,49,52,117,1696,229,1351,116,5
ARIZONA,PHOENIX,2018.0,1653080,6118,67,566,1438,4047,28854,5465,19461,3928,140
ARIZONA,PHOENIX,2019.0,1653080,5659,70,550,1564,3475,28196,4901,19877,3418,104
ARIZONA,SCOTTSDALE,2018.0,254961,211,7,53,52,99,2853,350,2362,141,7
ARIZONA,SCOTTSDALE,2019.0,254961,200,3,59,52,86,2797,365,2301,131,11
ARIZONA,SURPRISE,2018.0,136611,67,3,10,20,34,1088,138,860,90,3
ARIZONA,SURPRISE,2019.0,136611,83,2,15,32,34,1052,108,872,72,7
ARIZONA,TEMPE,2018.0,188543,448,3,75,97,273,3567,456,2841,270,3
ARIZONA,TEMPE,2019.0,188543,430,3,66,103,258,3690,442,2952,296,8
ARIZONA,TUCSON,2018.0,537392,2027,26,255,670,1076,13925,1690,10959,1276,92
ARIZONA,TUCSON,2019.0,537392,1936,27,264,560,1085,9809,1302,7402,1105,76
ARKANSAS,LITTLE ROCK,2018.0,199288,1336,19,121,150,1046,6236,1068,4643,525,24
ARKANSAS,LITTLE ROCK,2019.0,199288,1464,20,105,170,1169,5494,817,4180,497,27
CALIFORNIA,ANAHEIM,2018.0,354743,578,2,70,195,311,4399,733,2969,697,13
CALIFORNIA,ANAHEIM,2019.0,354743,497,6,49,174,268,4164,538,3009,617,16
CALIFORNIA,ANTIOCH,2018.0,112956,283,1,24,102,156,1479,278,910,291,28
CALIFORNIA,ANTIOCH,2019.0,112956,290,5,28,108,149,1634,278,1020,336,31
CALIFORNIA,BAKERSFIELD,2018.0,385609,911,18,60,402,431,8330,1997,4875,1458,116
CALIFORNIA,BAKERSFIELD,2019.0,385609,862,18,57,367,420,7575,1888,4410,1277,230
CALIFORNIA,BERKELEY,2018.0,123735,270,1,31,167,71,2581,403,1915,263,21
CALIFORNIA,BERKELEY,2019.0,123735,283,0,25,174,84,2776,404,2146,226,5
CALIFORNIA,BURBANK,2018.0,105041,129,0,7,48,74,1362,141,1115,106,7
CALIFORNIA,BURBANK,2019.0,105041,87,1,7,34,45,1324,143,1068,113,2
CALIFORNIA,CARLSBAD,2018.0,116739,115,1,19,23,72,1081,169,830,82,5
CALIFORNIA,CARLSBAD,2019.0,116739,129,2,28,17,82,1068,143,840,85,6
CALIFORNIA,CHULA VISTA,2018.0,274370,406,4,43,114,245,1905,307,1244,354,9
CALIFORNIA,CHULA VISTA,2019.0,274370,396,2,21,122,251,1847,228,1226,393,16
CALIFORNIA,CLOVIS,2018.0,111759,106,1,23,15,67,1271,160,1024,87,2
CALIFORNIA,CLOVIS,2019.0,111759,125,0,25,16,84,1120,165,875,80,2
CALIFORNIA,CONCORD,2018.0,130855,246,1,27,103,115,2151,261,1611,279,12
CALIFORNIA,CONCORD,2019.0,130855,237,1,34,102,100,2255,211,1744,300,11
CALIFORNIA,CORONA,2018.0,170041,127,4,27,49,47,1535,191,1082,262,10
CALIFORNIA,CORONA,2019.0,170041,125,3,31,45,46,1796,340,1180,276,12
CALIFORNIA,COSTA MESA,2018.0,114358,170,3,35,59,73,1911,265,1486,160,12
CALIFORNIA,COSTA MESA,2019.0,114358,134,0,16,51,67,1903,204,1515,184,11
CALIFORNIA,DALY CITY,2018.0,107928,113,2,18,45,48,719,119,517,83,3
CALIFORNIA,DALY CITY,2019.0,107928,122,0,26,47,49,897,88,714,95,7
CALIFORNIA,DOWNEY,2018.0,113277,174,3,7,83,81,1353,243,785,325,8
CALIFORNIA,DOWNEY,2019.0,113277,177,3,15,77,82,1344,166,888,290,2
CALIFORNIA,EL CAJON,2018.0,104497,246,2,20,86,138,1164,166,827,171,9
CALIFORNIA,EL CAJON,2019.0,104497,273,2,18,94,159,1120,206,750,164,8
CALIFORNIA,EL MONTE,2018.0,116464,181,2,12,78,89,1216,257,677,282,10
CALIFORNIA,EL MONTE,2019.0,116464,138,1,15,63,59,910,183,497,230,2
CALIFORNIA,ELK GROVE,2018.0,174651,198,0,16,40,142,1128,147,892,89,6
CALIFORNIA,ELK GROVE,2019.0,174651,172,0,18,62,92,1221,144,989,88,4
CALIFORNIA,ESCONDIDO,2018.0,153073,237,1,28,71,137,1370,187,933,250,5
CALIFORNIA,ESCONDIDO,2019.0,153073,260,3,22,70,165,1201,184,806,211,3
CALIFORNIA,FAIRFIELD,2018.0,117883,335,2,53,89,191,1639,211,1121,307,11
CALIFORNIA,FAIRFIELD,2019.0,117883,222,2,27,72,121,1821,175,1374,272,11
CALIFORNIA,FONTANA,2018.0,213964,331,5,27,94,205,1683,289,928,466,5
CALIFORNIA,FONTANA,2019.0,213964,337,4,38,90,205,1559,262,914,383,4
CALIFORNIA,FREMONT,2018.0,238024,274,1,32,115,126,2387,404,1620,363,6
CALIFORNIA,FREMONT,2019.0,238024,198,1,13,82,102,2310,258,1751,301,5
CALIFORNIA,FRESNO,2018.0,531818,1489,18,93,473,905,8628,1411,6126,1091,129
CALIFORNIA,FRESNO,2019.0,531818,1394,23,74,378,919,8898,1478,6234,1186,52
CALIFORNIA,FULLERTON,2018.0,141132,174,0,27,66,81,1878,176,1460,242,8
CALIFORNIA,FULLERTON,2019.0,141132,150,1,38,44,67,1607,120,1301,186,11
CALIFORNIA,GARDEN GROVE,2018.0,174661,266,2,28,90,146,2096,329,1438,329,6
CALIFORNIA,GARDEN GROVE,2019.0,174661,241,1,24,86,130,1918,298,1386,234,7
CALIFORNIA,GLENDALE,2018.0,204724,83,0,16,24,43,1491,188,1156,147,5
CALIFORNIA,GLENDALE,2019.0,204724,111,4,9,44,54,1682,248,1298,136,8
CALIFORNIA,HAYWARD,2018.0,162881,330,0,55,170,105,2434,262,1468,704,9
CALIFORNIA,HAYWARD,2019.0,162881,265,2,28,128,107,2385,237,1528,620,16
CALIFORNIA,HUNTINGTON BEACH,2018.0,203428,218,0,41,59,118,1871,227,1485,159,9
CALIFORNIA,HUNTINGTON BEACH,2019.0,203428,169,0,29,44,96,2025,290,1577,158,10
CALIFORNIA,INGLEWOOD,2018.0,110726,349,7,27,156,159,1382,221,822,339,7
CALIFORNIA,INGLEWOOD,2019.0,110726,352,1,30,189,132,1143,160,667,316,4
CALIFORNIA,IRVINE,2018.0,288052,82,0,22,22,38,1670,276,1307,87,2
CALIFORNIA,IRVINE,2019.0,288052,87,0,25,32,30,1905,312,1516,77,2
CALIFORNIA,JURUPA VALLEY,2018.0,107605,134,5,8,45,76,1389,201,791,397,0
CALIFORNIA,JURUPA VALLEY,2019.0,107605,152,4,3,43,102,1238,206,662,370,2
CALIFORNIA,LANCASTER,2018.0,160818,586,4,49,142,391,1855,512,981,362,14
CALIFORNIA,LANCASTER,2019.0,160818,703,6,43,192,462,1607,358,952,297,25
CALIFORNIA,LONG BEACH,2018.0,470445,1702,11,107,527,1057,5936,1077,3688,1171,57
CALIFORNIA,LONG BEACH,2019.0,470445,1164,13,122,455,574,5628,1117,3434,1077,86
CALIFORNIA,LOS ANGELES,2018.0,4029741,14709,132,1324,5139,8114,50093,7869,33364,8860,897
CALIFORNIA,LOS ANGELES,2019.0,4029741,14236,127,1097,4779,8233,48049,7145,33158,7746,735
CALIFORNIA,MODESTO,2018.0,215822,963,8,47,204,704,3965,564,2819,582,26
CALIFORNIA,MODESTO,2019.0,215822,890,8,40,216,626,3752,643,2504,605,33
CALIFORNIA,MORENO VALLEY,2018.0,209145,396,7,17,141,231,2933,591,1828,514,5
CALIFORNIA,MORENO VALLEY,2019.0,209145,390,4,10,137,239,2728,439,1749,540,3
CALIFORNIA,MURRIETA,2018.0,114706,49,2,5,18,24,661,128,435,98,2
CALIFORNIA,MURRIETA,2019.0,114706,34,0,9,10,15,748,108,523,117,3
CALIFORNIA,NORWALK,2018.0,106158,219,5,4,61,149,1057,222,604,231,4
CALIFORNIA,NORWALK,2019.0,106158,212,2,13,63,134,809,171,462,176,10
CALIFORNIA,OAKLAND,2018.0,430230,2675,32,214,1220,1209,10677,1160,7021,2496,106
CALIFORNIA,OAKLAND,2019.0,430230,2700,40,192,1337,1131,12053,1217,8324,2512,84
CALIFORNIA,OCEANSIDE,2018.0,177464,309,3,33,72,201,1845,258,1346,241,12
CALIFORNIA,OCEANSIDE,2019.0,177464,319,2,43,78,196,1810,191,1405,214,10
CALIFORNIA,ONTARIO,2018.0,177542,314,5,57,109,143,2344,346,1487,511,17
CALIFORNIA,ONTARIO,2019.0,177542,329,4,54,109,162,2070,354,1248,468,16
CALIFORNIA,ORANGE,2018.0,141108,91,2,1,44,44,1232,239,852,141,10
CALIFORNIA,ORANGE,2019.0,141108,87,1,6,39,41,1039,192,734,113,3
CALIFORNIA,OXNARD,2018.0,211737,427,8,32,195,192,2591,351,1831,409,20
CALIFORNIA,OXNARD,2019.0,211737,368,7,29,144,188,2294,343,1612,339,23
CALIFORNIA,PALMDALE,2018.0,158177,325,3,22,84,216,1203,287,692,224,9
CALIFORNIA,PALMDALE,2019.0,158177,331,5,27,105,194,1094,202,691,201,6
CALIFORNIA,PASADENA,2018.0,143448,236,2,21,75,138,1447,349,934,164,10
CALIFORNIA,PASADENA,2019.0,143448,329,1,21,78,229,1358,315,924,119,14
CALIFORNIA,POMONA,2018.0,153496,442,8,44,180,210,2370,413,1429,528,17
CALIFORNIA,POMONA,2019.0,153496,450,8,48,154,240,2107,408,1245,454,7
CALIFORNIA,RIALTO,2018.0,104173,243,2,26,87,128,1408,226,872,310,7
CALIFORNIA,RIALTO,2019.0,104173,253,4,28,78,143,1618,202,1116,300,9
CALIFORNIA,RICHMOND,2018.0,110982,509,7,13,191,298,2086,130,1092,864,17
CALIFORNIA,RICHMOND,2019.0,110982,533,7,21,149,356,2039,229,1195,615,17
CALIFORNIA,RIVERSIDE,2018.0,331022,801,9,73,271,448,5199,754,3552,893,35
CALIFORNIA,RIVERSIDE,2019.0,331022,861,5,50,231,575,4511,638,3164,709,20
CALIFORNIA,ROSEVILLE,2018.0,137706,125,2,15,60,48,1744,231,1363,150,3
CALIFORNIA,ROSEVILLE,2019.0,137706,100,2,14,38,46,1471,196,1166,109,6
CALIFORNIA,SACRAMENTO,2018.0,507037,1606,17,54,491,1044,7649,1348,4887,1414,62
CALIFORNIA,SACRAMENTO,2019.0,507037,1561,18,54,515,974,8002,1464,5131,1407,66
CALIFORNIA,SALINAS,2018.0,158590,484,9,54,156,265,2145,495,1069,581,13
CALIFORNIA,SALINAS,2019.0,158590,426,1,37,147,241,2032,460,997,575,12
CALIFORNIA,SAN BERNARDINO,2018.0,217986,1422,21,87,462,852,4446,1119,2311,1016,32
CALIFORNIA,SAN BERNARDINO,2019.0,217986,1373,20,81,452,820,4373,1078,2243,1052,38
CALIFORNIA,SAN DIEGO,2018.0,1436495,2630,18,310,653,1649,12983,1798,8698,2487,91
CALIFORNIA,SAN DIEGO,2019.0,1436495,2558,19,263,672,1604,13543,1821,9193,2529,59
CALIFORNIA,SAN FRANCISCO,2018.0,889282,3060,21,185,1521,1333,23559,2583,18998,1978,128
CALIFORNIA,SAN FRANCISCO,2019.0,889282,2711,20,167,1356,1168,22053,2277,17760,2016,125
CALIFORNIA,SAN JOSE,2018.0,1047305,2077,15,257,788,1017,13018,2253,6468,4297,71
CALIFORNIA,SAN JOSE,2019.0,1047305,2237,17,311,665,1244,12485,2052,7272,3161,47
CALIFORNIA,SAN MATEO,2018.0,105839,136,0,6,40,90,1076,346,618,112,3
CALIFORNIA,SAN MATEO,2019.0,105839,141,2,26,35,78,1071,256,723,92,5
CALIFORNIA,SANTA CLARA,2018.0,128682,103,0,26,36,41,1620,185,1218,217,4
CALIFORNIA,SANTA CLARA,2019.0,128682,115,0,23,36,56,2447,179,2064,204,14
CALIFORNIA,SANTA CLARITA,2018.0,216589,169,3,23,54,89,1295,310,832,153,15
CALIFORNIA,SANTA CLARITA,2019.0,216589,114,0,22,42,50,1001,213,682,106,4
CALIFORNIA,SANTA ROSA,2018.0,176325,389,3,81,64,241,1556,256,1096,204,14
CALIFORNIA,SANTA ROSA,2019.0,176325,418,2,73,61,282,1402,194,1057,151,12
CALIFORNIA,SIMI VALLEY,2018.0,127222,110,0,25,31,54,802,112,618,72,0
CALIFORNIA,SIMI VALLEY,2019.0,127222,72,0,7,20,45,586,106,448,32,4
CALIFORNIA,STOCKTON,2018.0,313158,2045,15,93,559,1378,5624,1158,3435,1031,82
CALIFORNIA,STOCKTON,2019.0,313158,2244,23,104,531,1586,6278,1124,4256,898,83
CALIFORNIA,SUNNYVALE,2018.0,155637,116,0,23,37,56,1265,201,862,202,1
CALIFORNIA,SUNNYVALE,2019.0,155637,127,0,18,40,69,1646,250,1209,187,6
CALIFORNIA,TEMECULA,2018.0,116411,65,0,0,29,36,1334,213,973,148,0
CALIFORNIA,TEMECULA,2019.0,116411,87,0,2,44,41,1376,171,1044,161,3
CALIFORNIA,THOUSAND OAKS,2018.0,129319,51,2,13,13,23,707,104,545,58,2
CALIFORNIA,THOUSAND OAKS,2019.0,129319,41,0,13,11,17,747,135,572,40,1
CALIFORNIA,TORRANCE,2018.0,146968,124,1,11,55,57,1362,238,984,140,7
CALIFORNIA,TORRANCE,2019.0,146968,151,3,16,67,65,1411,185,1101,125,4
CALIFORNIA,VACAVILLE,2018.0,101146,131,0,10,38,83,1093,102,898,93,5
CALIFORNIA,VACAVILLE,2019.0,101146,157,2,20,40,95,1162,74,1003,85,7
CALIFORNIA,VALLEJO,2018.0,122974,474,4,42,170,258,2024,1069,490,465,20
CALIFORNIA,VALLEJO,2019.0,122974,483,5,50,171,257,2182,1246,563,373,28
CALIFORNIA,VENTURA,2018.0,111272,223,1,31,48,143,1728,274,1302,152,26
CALIFORNIA,VENTURA,2019.0,111272,243,1,38,57,147,1538,177,1222,139,4
CALIFORNIA,VISALIA,2018.0,134224,226,1,55,67,103,2067,376,1432,259,8
CALIFORNIA,VISALIA,2019.0,134224,259,1,53,83,122,1834,367,1201,266,9
CALIFORNIA,VISTA,2018.0,102742,155,1,21,41,92,735,138,445,152,0
CALIFORNIA,VISTA,2019.0,102742,191,1,21,48,121,672,127,443,102,3
CALIFORNIA,WEST COVINA,2018.0,107806,128,0,7,72,49,1262,198,885,179,3
CALIFORNIA,WEST COVINA,2019.0,107806,139,2,12,66,59,1203,166,844,193,4
COLORADO,ARVADA,2018.0,120631,127,0,30,16,81,1667,168,1255,244,10
COLORADO,ARVADA,2019.0,120631,134,1,21,25,87,1870,175,1499,196,4
COLORADO,AURORA,2018.0,372824,1295,10,200,294,791,5547,835,3605,1107,30
COLORADO,AURORA,2019.0,372824,1290,12,216,290,772,5178,642,3408,1128,44
COLORADO,BOULDER,2018.0,108380,127,0,19,12,96,1595,188,1289,118,12
COLORADO,BOULDER,2019.0,108380,127,0,14,23,90,1497,169,1207,121,3
COLORADO,CENTENNIAL,2018.0,111646,97,1,21,8,67,962,122,751,89,5
COLORADO,CENTENNIAL,2019.0,111646,66,0,6,6,54,661,55,545,61,1
COLORADO,COLORADO SPRINGS,2018.0,471124,1334,12,245,278,799,7661,1408,5116,1137,74
COLORADO,COLORADO SPRINGS,2019.0,471124,1249,10,192,193,854,8270,1097,5780,1393,50
COLORADO,DENVER,2018.0,720745,2537,34,374,575,1554,13024,2053,8364,2607,60
COLORADO,DENVER,2019.0,720745,2452,28,333,554,1537,12732,1717,8436,2579,50
COLORADO,FORT COLLINS,2018.0,168163,187,1,17,17,152,1868,197,1591,80,5
COLORADO,FORT COLLINS,2019.0,168163,160,1,17,17,125,1693,183,1414,96,5
COLORADO,GREELEY,2018.0,107325,210,1,44,30,135,1312,183,989,140,11
COLORADO,GREELEY,2019.0,107325,190,1,34,36,119,1218,184,905,129,13
COLORADO,THORNTON,2018.0,139697,192,1,64,45,82,2279,234,1660,385,13
COLORADO,THORNTON,2019.0,139697,172,0,49,30,93,2253,176,1546,531,8
COLORADO,WESTMINSTER,2018.0,113751,174,7,30,41,96,1760,152,1293,315,15
COLORADO,WESTMINSTER,2019.0,113751,134,1,24,36,73,1683,193,1202,288,2
CONNECTICUT,BRIDGEPORT,2018.0,146819,474,5,34,146,289,1495,253,933,309,9
CONNECTICUT,BRIDGEPORT,2019.0,146819,400,9,40,155,196,1129,274,605,250,9
CONNECTICUT,HARTFORD,2018.0,123117,681,13,24,179,465,2311,332,1572,407,38
CONNECTICUT,HARTFORD,2019.0,123117,505,11,12,105,377,1644,181,1238,225,24
CONNECTICUT,STAMFORD,2018.0,132007,107,2,13,26,66,1097,114,854,129,3
CONNECTICUT,STAMFORD,2019.0,132007,107,2,11,38,56,850,104,678,68,1
CONNECTICUT,WATERBURY,2018.0,108378,241,3,32,97,109,2077,281,1393,403,6
