fips,state_name,county,lat,lon,total_population,area_sqmi,population_density_per_sqmi,percent_fair_or_poor_health,average_number_of_mentally_unhealthy_days,percent_low_birthweight,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_uninsured,primary_care_physicians_rate,mental_health_provider_rate,high_school_graduation_rate,percent_children_in_poverty,num_households_CHR,percent_single_parent_households_CHR,violent_crime_rate,percent_severe_housing_problems,severe_housing_cost_burden,life_expectancy,percent_adults_with_diabetes,percent_limited_access_to_healthy_foods,median_household_income,percent_enrolled_in_free_or_reduced_lunch,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_american_indian_alaska_native,percent_asian,percent_native_hawaiian_other_pacific_islander,percent_hispanic,percent_non_hispanic_white,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percent_below_poverty,percent_unemployed_CDC,percent_no_highschool_diploma,percent_age_65_and_older,percent_age_17_and_younger,percent_disabled,percent_minorities,percent_limited_english_abilities,percentile_rank_social_vulnerability,pct_overall_pov_19,cpm_18,state_abr,percent_of_adults_with_less_than_high_school_diploma,percent_of_adults_with_high_school_diploma_only,percent_of_adults_completing_some_college_or_associate_degree,percent_of_adults_with_bachelor_degree_or_higher,fi_rate_18,ch_fi_rate_18
1001,Alabama,Autauga,32.53492796,-86.64274781,55049,594.4461199,92.60553338,20.88298733,4.654031397,8.61952862,18.08155718,33.3,7.2,34.7,69.13012406,8.721685951,45.0418,23.38087,90,19.3,13318,26.24267908,272.2822201,14.66346154,12.8267183,76.87947717,11.1,11.991125,59338,43.40867308,74.89462467,13.40348117,23.67403464,15.56266974,19.34317728,0.480207191,1.224798115,0.111508786,2.965773997,74.30801604,0.820224503,51.44871495,42.00216232,26168,12.3,5.6,12.4,14,25.2,18.4,24.3,0.8,0.3773,12.1,3.33,AL,11.5,33.6,28.4,26.6,15.6,21.4
1003,Alabama,Baldwin,30.72748899,-87.72257524,199510,1589.807425,125.4931867,17.50913436,4.304056469,8.345003183,17.4890326,31,8,26.5,73.71354895,11.33340447,72.89727,96.32055,86.3615768,13.9,45415,24.13960145,203.6603963,13.56620093,12.27738802,78.45025837,10.7,5.424426597,57588,48.48656472,73.61934319,11.72580795,21.60791113,20.44334975,8.783975929,0.772399116,1.150342626,0.066965719,4.646778765,83.11133739,0.543516982,51.53837686,42.27909911,28069,13,6.3,10,18.7,22.2,13.9,16.8,0.8,0.2757,10.1,3.58,AL,9.2,27.7,31.3,31.9,12.9,16.9
1005,Alabama,Barbour,31.86958881,-85.39321291,26614,884.875776,30.07653811,29.59180171,5.185594413,11.47455867,21.99998453,41.7,5.6,23.5,53.16676986,12.24279246,31.65809,8.03826,81.41025641,43.9,5429,56.60342605,414.2778607,14.58333333,13.44594595,75.34193493,17.6,10.73966657,34382,63.29230204,61.39777923,14.05954631,20.86732848,19.4204413,48.03263534,0.659137495,0.45416181,0.184880029,4.276355452,45.64125236,1.631682519,47.21675174,67.7896347,17249,26.4,12.8,26.2,16.5,21.5,21.5,54.1,1.5,0.9847,27.1,3.12,AL,26.8,35.6,26,11.6,21.9,32
1007,Alabama,Bibb,32.99863415,-87.12648014,22572,622.5823549,36.25544448,19.43972416,4.551698849,10.30871003,19.11419989,37.6,7.8,33.5,16.25136374,10.20625259,48.52656,22.32143,83.76383764,27.8,4608,28.68923611,89.34912598,10.4964539,9.978276611,73.57182028,14.5,2.601627008,46064,61.56211562,75.07309942,9.886874322,20.47767857,16.47321429,21.12053571,0.4375,0.236607143,0.116071429,2.625,74.58928571,0.268210051,46.78125,68.35260746,18988,16.5,7.1,19.3,14.9,21.1,14.8,25.2,0.4,0.5737,20.3,2.94,AL,20.9,44.9,23.8,10.4,15.1,20.9
1009,Alabama,Blount,33.9808782,-86.56738341,57704,644.806508,89.4904119,21.74529281,4.891454668,7.604562738,19.20867197,33.8,8.4,30.3,15.63448589,13.36075949,22.40877,15.56017,93.46879536,18,13392,28.56182796,482.6906109,10.54801164,7.851445663,74.1458259,17,2.880149823,50412,52.90628707,78.62621359,8.462257294,23.15352697,18.23651452,1.462655602,0.653526971,0.319847856,0.121023513,9.571230982,86.8862379,1.724519941,50.72614108,89.95150204,21033,16.5,6,20,17.2,23.6,14.9,12.3,1.9,0.4986,16.3,3.14,AL,19.5,33.4,34,13.1,13.6,19.1
1011,Alabama,Bullock,32.10053438,-85.71568627,10552,622.8053585,16.94269302,30.99910185,4.891351043,15.68848759,22.89466401,37.2,4.3,24.6,2.501374382,11.44037612,29.10079,19.72776,70.24793388,68.3,2142,74.78991597,311.0273327,18.14345992,15.21044993,73.53089479,23.7,19.74335074,29267,75.78659371,75.53338875,18.50152905,21.07910831,16.38390215,69.54034326,0.838429671,0.187413691,0.749654764,7.960149931,21.2172026,0.440754408,45.48234366,51.37438153,17909,26.9,13.3,33.4,15.1,21.6,17.6,78.3,1,0.9363,30,3.32,AL,25.3,40.3,22.3,12.1,20.5,32.4
1013,Alabama,Butler,31.75241781,-86.68030288,20280,776.8280471,26.10616349,27.91067318,5.340750195,12.68028846,21.76533496,43.3,6.6,39.5,48.57974889,11.18600954,25.22068,50.81301,81.58995816,36.3,4534,52.71283635,581.5840052,13.15960912,11.69230769,72.9183092,19.2,2.926121931,37365,79.15713819,69.94633274,11.54595648,22.24593496,20.29979675,44.55792683,0.37601626,1.316056911,0.050813008,1.509146342,51.2550813,0.494155154,53.42987805,71.23215735,19011,25.7,9.8,18.9,18.1,23.3,19.4,47.2,0.9,0.9166,21.6,2.97,AL,15,45.2,23.7,16.1,19.1,27
1015,Alabama,Calhoun,33.77143651,-85.82603459,115883,605.8887948,191.2611704,23.10773322,4.816072288,9.161373668,20.61256038,38.5,6.9,31.7,47.7212158,11.92916752,63.62876,115.50881,92.36804565,26.5,24903,40.19194475,756.0665443,13.73419126,11.82493249,73.03910859,17.5,9.178566583,45400,58.83759322,69.47349721,11.72243222,21.60977275,17.71747596,20.85021483,0.539916169,0.96432353,0.110258407,3.910673189,72.02499191,0.991376133,51.94658593,33.69682556,22231,19.6,11.7,17.7,15.9,22.1,20.4,27,0.7,0.816,17.2,2.98,AL,15.6,32.8,33.2,18.5,17.4,24.6
1017,Alabama,Chambers,32.91435287,-85.39203349,34018,596.5311116,57.02636348,23.9954736,4.873580766,12.21374046,19.39292705,40.1,6.4,30.1,61.86467923,11.93807681,41.52701,5.94972,86.23853211,30.7,6953,46.55544369,528.9997362,15.9566787,12.37707948,74.29107603,19.9,10.32855828,39917,71.12135177,67.7641314,12.38102792,20.80023799,19.52104715,39.56567009,0.306410829,1.326788636,0.044622936,2.561356537,55.23129555,0.112937633,52.12553919,49.14803449,21532,20.3,7.5,19.7,18.4,21.4,17.7,43.3,0.4,0.8408,19.6,2.92,AL,18.4,36.7,31.6,13.3,16.4,22.2
1019,Alabama,Cherokee,34.17592601,-85.60380039,25897,553.719701,46.76915044,20.6984706,4.711270423,8.272506083,17.49867379,35,8.3,31.3,33.42952788,11.17264992,38.67425,19.20713,94.9044586,24.7,5261,23.77874929,330.438792,13,11.15207373,73.99883376,15.2,0.2211124,42132,61.60624371,78.95530832,9.945695897,19.16871543,22.97172711,4.240934235,0.660725261,0.338045483,0.030731408,1.621081746,91.65642286,0.401639012,50.46097111,85.73627304,22544,16.4,5.9,18.7,20.3,20.6,21.4,8.1,0.1,0.419,15.9,3.25,AL,18.4,40.3,28.6,12.8,15.6,21.1
