Variable,Description,,,,,
FIPS_Code,State-county FIPS code,,,,,
State,State abbreviation,,,,,
Area_name,State or county name,,,,,
Rural_urban_continuum_code_2013,"Rural-urban Continuum Code, 2013",,,,,
Urban_influence_code_2013,"Urban Influence Code, 2013",,,,,
Metro_2013,Metro nonmetro dummy 0=Nonmetro 1=Metro (Based on 2013 OMB Metropolitan Area delineation) ,,,,,
Civilian_labor_force_2000,"Civilian labor force annual average, 2000",,,,,
Employed_2000,"Number employed annual average, 2000",,,,,
Unemployed_2000,"Number unemployed annual average, 2000",,,,,
Unemployment_rate_2000,"Unemployment rate, 2000",,,,,
Civilian_labor_force_2001,"Civilian labor force annual average, 2001",,,,,
Employed_2001,"Number employed annual average, 2001",,,,,
Unemployed_2001,"Number unemployed annual average, 2001",,,,,
Unemployment_rate_2001,"Unemployment rate, 2001",,,,,
Civilian_labor_force_2002,"Civilian labor force annual average, 2002",,,,,
Employed_2002,"Number employed annual average, 2002",,,,,
Unemployed_2002,"Number unemployed annual average, 2002",,,,,
Unemployment_rate_2002,"Unemployment rate, 2002",,,,,
Civilian_labor_force_2003,"Civilian labor force annual average, 2003",,,,,
Employed_2003,"Number employed annual average, 2003",,,,,
Unemployed_2003,"Number unemployed annual average, 2003",,,,,
Unemployment_rate_2003,"Unemployment rate, 2003",,,,,
Civilian_labor_force_2004,"Civilian labor force annual average, 2004",,,,,
Employed_2004,"Number employed annual average, 2004",,,,,
Unemployed_2004,"Number unemployed annual average, 2004",,,,,
Unemployment_rate_2004,"Unemployment rate, 2004",,,,,
Civilian_labor_force_2005,"Civilian labor force annual average, 2005",,,,,
Employed_2005,"Number employed annual average, 2005",,,,,
Unemployed_2005,"Number unemployed annual average, 2005",,,,,
Unemployment_rate_2005,"Unemployment rate, 2005",,,,,
Civilian_labor_force_2006,"Civilian labor force annual average, 2006",,,,,
Employed_2006,"Number employed annual average, 2006",,,,,
Unemployed_2006,"Number unemployed annual average, 2006",,,,,
Unemployment_rate_2006,"Unemployment rate, 2006",,,,,
Civilian_labor_force_2007,"Civilian labor force annual average, 2007",,,,,
Employed_2007,"Number employed annual average, 2007",,,,,
Unemployed_2007,"Number unemployed annual average, 2007",,,,,
Unemployment_rate_2007,"Unemployment rate, 2007",,,,,
Civilian_labor_force_2008,"Civilian labor force annual average, 2008",,,,,
Employed_2008,"Number employed annual average, 2008",,,,,
Unemployed_2008,"Number unemployed annual average, 2008",,,,,
