,time,sate,pov,fi
1,1/1/2010,Alabama,18.9,20.37910448
2,1/1/2011,Alabama,18.9,19.29253731
3,1/1/2012,Alabama,21.3,19.49741189
4,1/1/2013,Alabama,23.8,18.56959206
5,1/1/2014,Alabama,20.6,18.8006261
6,1/1/2015,Alabama,19.1,18.95223881
7,1/1/2016,Alabama,23,18.49253731
8,1/1/2017,Alabama,21.6,18.09253731
9,1/1/2018,Alabama,24.1,17.15522388
10,1/1/2019,Alabama,21.2,17.71940299
11,1/1/2010,Alaska,10.5,15.02173913
12,1/1/2011,Alaska,10.5,14.57391304
13,1/1/2012,Alaska,12,14.69452816
14,1/1/2013,Alaska,11.4,13.96953171
15,1/1/2014,Alaska,8.7,14.24914165
16,1/1/2015,Alaska,9.6,15.93043478
17,1/1/2016,Alaska,12.6,15.34782609
18,1/1/2017,Alaska,10.6,14.86521739
19,1/1/2018,Alaska,9,14.77826087
20,1/1/2019,Alaska,9.6,14.26521739
21,1/1/2010,Arizona,14.1,20.74666667
22,1/1/2011,Arizona,14.1,19.55333333
23,1/1/2012,Arizona,12.8,19.09045963
24,1/1/2013,Arizona,14.3,17.84716145
25,1/1/2014,Arizona,10.7,17.52611888
26,1/1/2015,Arizona,18.2,17.64
27,1/1/2016,Arizona,16.3,16.96
28,1/1/2017,Arizona,14.8,16.16
29,1/1/2018,Arizona,11.7,15.53333333
30,1/1/2019,Arizona,12.8,15.75333333
31,1/1/2010,Arkansas,18.3,19.25733333
32,1/1/2011,Arkansas,18.3,18.98133333
33,1/1/2012,Arkansas,21.8,19.71423213
34,1/1/2013,Arkansas,21.3,19.43046952
35,1/1/2014,Arkansas,22.9,19.74303341
36,1/1/2015,Arkansas,23.9,19.75466667
37,1/1/2016,Arkansas,21.5,19.144
38,1/1/2017,Arkansas,23.8,18.13866667
39,1/1/2018,Arkansas,24.1,17.75866667
40,1/1/2019,Arkansas,21.5,18.23866667
41,1/1/2010,California,12.9,17.98965517
42,1/1/2011,California,12.9,17.8
43,1/1/2012,California,12.3,17.42668294
44,1/1/2013,California,12.7,16.24436831
45,1/1/2014,California,13.6,14.95268208
46,1/1/2015,California,13.2,14.66206897
47,1/1/2016,California,14.9,13.76724138
48,1/1/2017,California,14.1,13.06551724
49,1/1/2018,California,13.3,12.38965517
50,1/1/2019,California,11,11.91034483
51,1/1/2010,Colorado,12.1,14.1265625
52,1/1/2011,Colorado,12.1,14.2578125
53,1/1/2012,Colorado,12.5,15.5429296
54,1/1/2013,Colorado,13.5,14.56805888
55,1/1/2014,Colorado,10.2,13.91474816
56,1/1/2015,Colorado,8.9,12.8109375
57,1/1/2016,Colorado,12.6,11.8625
58,1/1/2017,Colorado,12.6,11.0625
59,1/1/2018,Colorado,9.6,10.5609375
60,1/1/2019,Colorado,8.6,11.0390625
61,1/1/2010,Connecticut,2.9,11.7125
62,1/1/2011,Connecticut,2.9,12.05
63,1/1/2012,Connecticut,6.6,14.53203821
64,1/1/2013,Connecticut,6,13.88333774
65,1/1/2014,Connecticut,7.6,13.58006496
66,1/1/2015,Connecticut,6.9,11.975
67,1/1/2016,Connecticut,8.8,11.25
68,1/1/2017,Connecticut,8.1,10.725
69,1/1/2018,Connecticut,8.2,10.475
70,1/1/2019,Connecticut,8.3,10.7625
71,1/1/2010,Delaware,10,12.36666667
72,1/1/2011,Delaware,10,12
73,1/1/2012,Delaware,6.6,13.23066578
74,1/1/2013,Delaware,12.4,13.03031757
75,1/1/2014,Delaware,11.4,13.21200455
76,1/1/2015,Delaware,10.3,11.9
77,1/1/2016,Delaware,8.6,11.63333333
78,1/1/2017,Delaware,11.5,11.46666667
79,1/1/2018,Delaware,12.3,11.46666667
80,1/1/2019,Delaware,11.8,11.36666667
81,1/1/2010,District of Columbia,18,15.8
82,1/1/2011,District of Columbia,18,16.45950967
83,1/1/2012,District of Columbia,14.9,15.71531207
84,1/1/2013,District of Columbia,12.8,14.47677848
85,1/1/2014,District of Columbia,20.4,14.99576919
86,1/1/2015,District of Columbia,21.1,13.5
87,1/1/2016,District of Columbia,21.5,12.7
88,1/1/2017,District of Columbia,19.3,11.9
89,1/1/2018,District of Columbia,18.1,11.4
90,1/1/2019,District of Columbia,20.9,10.7
91,1/1/2010,Florida,12.5,17.60597015
92,1/1/2011,Florida,12.5,17.7880597
93,1/1/2012,Florida,12.4,18.6745489
94,1/1/2013,Florida,11.4,17.85017659
95,1/1/2014,Florida,13.4,16.95685439
96,1/1/2015,Florida,15.1,16.49104478
97,1/1/2016,Florida,14.7,16.22686567
98,1/1/2017,Florida,15.2,15.50746269
99,1/1/2018,Florida,16.6,14.64179104
100,1/1/2019,Florida,16.7,13.94477612
101,1/1/2010,Georgia,15,19.80125786
102,1/1/2011,Georgia,15,19.51698113
103,1/1/2012,Georgia,14.6,20.02341264
104,1/1/2013,Georgia,14.6,18.89718139
105,1/1/2014,Georgia,17.7,18.73257322
106,1/1/2015,Georgia,16.9,17.93962264
107,1/1/2016,Georgia,18.8,16.99308176
108,1/1/2017,Georgia,19.6,16.44779874
109,1/1/2018,Georgia,16.3,15.71069182
110,1/1/2019,Georgia,13.9,14.84779874
111,1/1/2010,Hawaii,11.3,14.025
112,1/1/2011,Hawaii,11.3,13.675
113,1/1/2012,Hawaii,8.8,14.55473847
114,1/1/2013,Hawaii,10.7,14.16922775
115,1/1/2014,Hawaii,10.7,13.81285905
116,1/1/2015,Hawaii,9.3,13.275
117,1/1/2016,Hawaii,12.9,12.35
118,1/1/2017,Hawaii,13.2,11.425
119,1/1/2018,Hawaii,11.3,10.575
120,1/1/2019,Hawaii,8.5,10.85
121,1/1/2010,Idaho,12.4,16.18409091
122,1/1/2011,Idaho,12.4,16.52272727
123,1/1/2012,Idaho,15.1,17.30174103
124,1/1/2013,Idaho,18.5,15.79592512
125,1/1/2014,Idaho,16,15.55886104
126,1/1/2015,Idaho,17.3,14.54772727
127,1/1/2016,Idaho,17.7,13.64090909
128,1/1/2017,Idaho,15.6,13.21136364
129,1/1/2018,Idaho,17.7,12.54318182
130,1/1/2019,Idaho,14.7,11.57727273
131,1/1/2010,Illinois,12.7,14.56176471
132,1/1/2011,Illinois,12.7,13.55686275
133,1/1/2012,Illinois,14.4,15.21027745
134,1/1/2013,Illinois,13.3,14.24290237
135,1/1/2014,Illinois,15.6,13.62491544
136,1/1/2015,Illinois,15,12.31666667
137,1/1/2016,Illinois,14.3,11.93627451
138,1/1/2017,Illinois,13.4,11.57941176
139,1/1/2018,Illinois,12.1,11.03823529
140,1/1/2019,Illinois,12.3,10.91862745
141,1/1/2010,Indiana,13.7,16.0423913
142,1/1/2011,Indiana,13.7,14.6076087
143,1/1/2012,Indiana,11.1,16.32657258
144,1/1/2013,Indiana,12.7,15.6585238
145,1/1/2014,Indiana,12,15.41599616
146,1/1/2015,Indiana,12.9,13.50652174
147,1/1/2016,Indiana,16.1,12.85
148,1/1/2017,Indiana,12.6,12.47065217
149,1/1/2018,Indiana,12.6,11.87065217
150,1/1/2019,Indiana,11.8,12.58695652
151,1/1/2010,Iowa,10.3,12.96060606
152,1/1/2011,Iowa,10.3,12.56363636
153,1/1/2012,Iowa,14.5,12.91900981
154,1/1/2013,Iowa,12.9,12.67750227
155,1/1/2014,Iowa,17.9,12.59539169
156,1/1/2015,Iowa,14.6,11.92020202
157,1/1/2016,Iowa,16.7,11.32929293
158,1/1/2017,Iowa,13.4,11.02323232
159,1/1/2018,Iowa,13.1,10.61414141
160,1/1/2019,Iowa,10.8,9
161,1/1/2010,Kansas,10.8,13.35142857
162,1/1/2011,Kansas,10.8,12.9952381
163,1/1/2012,Kansas,9.2,15.08965819
164,1/1/2013,Kansas,11.1,14.79085417
165,1/1/2014,Kansas,13.8,14.48984902
166,1/1/2015,Kansas,10.7,12.84666667
167,1/1/2016,Kansas,13.6,12.2352381
168,1/1/2017,Kansas,10.4,12.10952381
169,1/1/2018,Kansas,11.7,11.83619048
170,1/1/2019,Kansas,9.4,12.29333333
171,1/1/2010,Kentucky,16.1,18.34166667
172,1/1/2011,Kentucky,16.1,17.40916667
173,1/1/2012,Kentucky,17.3,17.15332877
174,1/1/2013,Kentucky,17.7,16.67604553
175,1/1/2014,Kentucky,19.4,16.43416426
176,1/1/2015,Kentucky,19.1,16.2475
177,1/1/2016,Kentucky,17.9,15.71083333
178,1/1/2017,Kentucky,16.2,15.70916667
